| Economy | Senegal |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2011) |
| Distribution of family income - Gini index: | 40.3 (2011) |
| Budget: | revenues: 4.139 billion (2017 est.) |
| Budget: | expenditures: 4.9 billion (2017 est.) |
| Taxes and other revenues: | 19.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.6% (of GDP) (2017 est.) |
| Public debt: | 48.3% of GDP (2017 est.) |
| Public debt: | 47.8% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Inflation rate (consumer prices): | 0.8% (2016 est.) |
| Central bank discount rate: | 0.25% (31 December 2010) |
| Central bank discount rate: | 4.25% (31 December 2009) |
| Commercial bank prime lending rate: | 5.4% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.3% (31 December 2016 est.) |
| Stock of narrow money: | $5.944 billion (31 December 2017 est.) |
| Stock of narrow money: | $4.689 billion (31 December 2016 est.) |
| Stock of broad money: | $5.944 billion (31 December 2017 est.) |
| Stock of broad money: | $4.689 billion (31 December 2016 est.) |
| Stock of domestic credit: | $6.695 billion (31 December 2017 est.) |
| Stock of domestic credit: | $5.219 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$1.547 billion (2017 est.) |
| Current account balance: | -$769 million (2016 est.) |
| Exports: | $2.362 billion (2017 est.) |
| Exports: | $2.498 billion (2016 est.) |
| Exports - partners: | Mali 14.8%, Switzerland 11.4%, India 6%, Cote dIvoire 5.3%, UAE 5.1%, Gambia, The 4.2%, Spain 4.1% (2017) |
| Exports - commodities: | fish, groundnuts (peanuts), petroleum products, phosphates, cotton |
| Imports: | $5.217 billion (2017 est.) |
| Imports: | $4.966 billion (2016 est.) |
| Imports - commodities: | food and beverages, capital goods, fuels |
| Imports - partners: | France 16.3%, China 10.4%, Nigeria 8%, India 7.2%, Netherlands 4.8%, Spain 4.2% (2017) |
| Reserves of foreign exchange and gold: | $1.827 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $116.9 million (31 December 2016 est.) |
| Debt - external: | $8.571 billion (31 December 2017 est.) |
| Debt - external: | $6.327 billion (31 December 2016 est.) |
| Exchange rates: | Communaute Financiere Africaine francs (XOF) per US dollar - |
| Exchange rates: | 617.4 (2017 est.) |
| Exchange rates: | 593.01 (2016 est.) |
| Exchange rates: | 593.01 (2015 est.) |
| Exchange rates: | 591.45 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
