| Economy | Brazil |
| Public debt: | 84% of GDP (2017 est.) |
| Public debt: | 78.4% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$50.927 billion (2019 est.) |
| Current account balance: | -$41.54 billion (2018 est.) |
| Exports: | $291.452 billion (2019 est.) |
| Exports: | $298.565 billion (2018 est.) |
| Exports: | $286.935 billion (2017 est.) |
| Exports - partners: | China 21.8%, US 12.5%, Argentina 8.1%, Netherlands 4.3% (2017) |
| Exports - commodities: | transport equipment, iron ore, soybeans, footwear, coffee, automobiles |
| Imports: | $271.257 billion (2019 est.) |
| Imports: | $268.237 billion (2018 est.) |
| Imports: | $248.961 billion (2017 est.) |
| Imports - commodities: | machinery, electrical and transport equipment, chemical products, oil, automotive parts, electronics |
| Imports - partners: | China 18.1%, US 16.7%, Argentina 6.3%, Germany 6.1% (2017) |
| Reserves of foreign exchange and gold: | $374 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $367.5 billion (31 December 2016 est.) |
| Debt - external: | $547.4 billion (31 December 2017 est.) |
| Debt - external: | $548.6 billion (31 December 2016 est.) |
| Exchange rates: | reals (BRL) per US dollar - |
| Exchange rates: | 5.12745 (2020 est.) |
| Exchange rates: | 4.14915 (2019 est.) |
| Exchange rates: | 3.862 (2018 est.) |
| Exchange rates: | 3.3315 (2014 est.) |
| Exchange rates: | 2.3535 (2013 est.) |
