| Economy | Brazil |
| Inflation rate (consumer prices): | 8.7% (2016 est.) |
| Central bank discount rate: | 7% (31 December 2017 est.) |
| Central bank discount rate: | 13.75% (31 December 2016) |
| Commercial bank prime lending rate: | 46.92% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 52.1% (31 December 2016 est.) |
| Stock of narrow money: | $110.3 billion (31 December 2017 est.) |
| Stock of narrow money: | $106.7 billion (31 December 2016 est.) |
| Stock of broad money: | $110.3 billion (31 December 2017 est.) |
| Stock of broad money: | $106.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $2.206 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $2.138 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $642.5 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $561.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $420 billion (31 December 2013 est.) |
| Current account balance: | -$9.762 billion (2017 est.) |
| Current account balance: | -$23.55 billion (2016 est.) |
| Exports: | $217.2 billion (2017 est.) |
| Exports: | $184.5 billion (2016 est.) |
| Exports - partners: | China 21.8%, US 12.5%, Argentina 8.1%, Netherlands 4.3% (2017) |
| Exports - commodities: | transport equipment, iron ore, soybeans, footwear, coffee, automobiles |
| Imports: | $153.2 billion (2017 est.) |
| Imports: | $139.4 billion (2016 est.) |
| Imports - commodities: | machinery, electrical and transport equipment, chemical products, oil, automotive parts, electronics |
| Imports - partners: | China 18.1%, US 16.7%, Argentina 6.3%, Germany 6.1% (2017) |
| Reserves of foreign exchange and gold: | $374 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $367.5 billion (31 December 2016 est.) |
| Debt - external: | $547.4 billion (31 December 2017 est.) |
| Debt - external: | $548.6 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $778.3 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $703.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $358.9 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $341.5 billion (31 December 2016 est.) |
| Exchange rates: | reals (BRL) per US dollar - |
| Exchange rates: | 3.19 (2017 est.) |
| Exchange rates: | 3.48 (2016 est.) |
| Exchange rates: | 3.4901 (2015 est.) |
| Exchange rates: | 3.3315 (2014 est.) |
| Exchange rates: | 2.3535 (2013 est.) |
