| Economy | Philippines |
| GDP - composition, by end use: | investment in inventories: 0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 31% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -40.9% (2017 est.) |
| Ease of Doing Business Index scores: | 71.3 (2020) |
| Agriculture - products: | rice, fish, livestock, poultry, bananas, coconut/copra, corn, sugarcane, mangoes, pineapple, cassava |
| Industries: | semiconductors and electronics assembly, business process outsourcing, food and beverage manufacturing, construction, electric/gas/water supply, chemical products, radio/television/communications equipment and apparatus, petroleum and fuel, textile and garments, non-metallic minerals, basic metal industries, transport equipment |
| Industrial production growth rate: | 7.2% (2017 est.) |
| Labor force: | 41.533 million (2020 est.) |
| Labor force - by occupation: | agriculture: 25.4% |
| Labor force - by occupation: | industry: 18.3% |
| Labor force - by occupation: | services: 56.3% (2017 est.) |
| Unemployment rate: | 5.11% (2019 est.) |
| Unemployment rate: | 5.29% (2018 est.) |
| Population below poverty line: | 21.6% (2017 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.2% |
| Household income or consumption by percentage share: | highest 10%: 29.5% (2015 est.) |
| Budget: | revenues: 49.07 billion (2017 est.) |
| Budget: | expenditures: 56.02 billion (2017 est.) |
| Taxes and other revenues: | 15.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.2% (of GDP) (2017 est.) |
| Public debt: | 39.9% of GDP (2017 est.) |
| Public debt: | 39% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$3.386 billion (2019 est.) |
| Current account balance: | -$8.877 billion (2018 est.) |
| Exports: | $131.193 billion (2019 est.) |
| Exports: | $128.138 billion (2018 est.) |
| Exports: | $114.597 billion (2017 est.) |
| Exports - partners: | Japan 16.4%, US 14.6%, Hong Kong 13.7%, China 11%, Singapore 6.1%, Thailand 4.3%, Germany 4.1%, South Korea 4% (2017) |
| Exports - commodities: | semiconductors and electronic products, machinery and transport equipment, wood manufactures, chemicals, processed food and beverages, garments, coconut oil, copper concentrates, seafood, bananas/fruits |
| Imports: | $158.307 billion (2019 est.) |
| Imports: | $155.441 billion (2018 est.) |
| Imports: | $135.585 billion (2017 est.) |
| Imports - commodities: | electronic products, mineral fuels, machinery and transport equipment, iron and steel, textile fabrics, grains, chemicals, plastic |
| Imports - partners: | China 18.1%, Japan 11.4%, South Korea 8.8%, US 7.4%, Thailand 7.1%, Indonesia 6.7%, Singapore 5.9% (2017) |
| Reserves of foreign exchange and gold: | $81.57 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $80.69 billion (31 December 2016 est.) |
| Debt - external: | $76.18 billion (31 December 2017 est.) |
| Debt - external: | $74.76 billion (31 December 2016 est.) |
| Exchange rates: | Philippine pesos (PHP) per US dollar - |
| Exchange rates: | 48.055 (2020 est.) |
| Exchange rates: | 50.81 (2019 est.) |
| Exchange rates: | 52.71 (2018 est.) |
| Exchange rates: | 45.503 (2014 est.) |
| Exchange rates: | 44.395 (2013 est.) |
