| Economy | Rwanda |
| Gross national saving: | 13.5% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 88.6% |
| GDP - composition, by end use: | government consumption: 8.2% |
| GDP - composition, by end use: | investment in fixed capital: 22.8% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 13.2% |
| GDP - composition, by end use: | imports of goods and services: -32.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 32.1% |
| GDP - composition, by sector of origin: | industry: 15% |
| GDP - composition, by sector of origin: | services: 52.8% (2012 est.) |
| Agriculture - products: | coffee, tea, pyrethrum (insecticide made from chrysanthemums), bananas, beans, sorghum, potatoes; livestock |
| Industries: | cement, agricultural products, small-scale beverages, soap, furniture, shoes, plastic goods, textiles, cigarettes |
| Industrial production growth rate: | 7.2% (2012 est.) |
| Labor force: | 4.446 million (2007) |
| Labor force - by occupation: | agriculture: 90% |
| Labor force - by occupation: | industry and services: 10% (2000) |
| Unemployment rate: | NA% |
| Population below poverty line: | 44.9% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 43.2% (2011 est.) |
| Distribution of family income - Gini index: | 46.8 (2000) |
| Distribution of family income - Gini index: | 28.9 (1985) |
| Budget: | revenues: $1.701 billion |
| Budget: | expenditures: $1.781 billion (2012 est.) |
| Taxes and other revenues: | 24.3% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -1.1% of GDP (2012 est.) |
| Public debt: | 21.7% of GDP (2012 est.) |
| Public debt: | 23.6% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.3% (2012 est.) |
| Inflation rate (consumer prices): | 5.7% (2011 est.) |
| Central bank discount rate: | 7.75% (31 December 2010 est.) |
| Central bank discount rate: | 11.25% (31 December 2008) |
| Commercial bank prime lending rate: | 17.5% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 16.9% (31 December 2011 est.) |
| Stock of narrow money: | $671.2 million (31 December 2012 est.) |
| Stock of narrow money: | $632.1 million (31 December 2011 est.) |
| Stock of broad money: | $1.536 billion (31 December 2012 est.) |
| Stock of broad money: | $1.324 billion (31 December 2011 est.) |
| Stock of domestic credit: | $557 million (31 December 2012 est.) |
| Stock of domestic credit: | $520.2 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-569.2 million (2012 est.) |
| Current account balance: | $-467.7 million (2011 est.) |
| Exports: | $512 million (2012 est.) |
| Exports: | $469 million (2011 est.) |
| Exports - commodities: | coffee, tea, hides, tin ore |
| Exports - partners: | Kenya 30.5%, Democratic Republic of the Congo 12.2%, China 12.1%, Malaysia 10.7%, US 5.8%, Swaziland 4.9% (2012) |
| Imports: | $1.871 billion (2012 est.) |
| Imports: | $1.565 billion (2011 est.) |
| Imports - commodities: | foodstuffs, machinery and equipment, steel, petroleum products, cement and construction material |
| Imports - partners: | Kenya 17.3%, Uganda 15.6%, UAE 8.9%, China 7.2%, India 5.6%, Tanzania 5%, Belgium 4.5%, Canada 4.1% (2012) |
| Reserves of foreign exchange and gold: | $847.8 million (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $1.05 billion (31 December 2011 est.) |
| Debt - external: | $1.153 billion (31 December 2012 est.) |
| Debt - external: | $1.103 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $743.3 million (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $583.3 million (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $12.9 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $12.9 million (31 December 2011 est.) |
| Exchange rates: | Rwandan francs (RWF) per US dollar - |
| Exchange rates: | 616.6 (2012 est.) |
| Exchange rates: | 601.83 (2011 est.) |
| Exchange rates: | 583.13 (2010 est.) |
| Exchange rates: | 568.18 (2009) |
| Exchange rates: | 550 (2008) |
