| Economy | RWANDA |
| GDP - composition, by end use: | investment in fixed capital: 24.2% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 17% |
| GDP - composition, by end use: | imports of goods and services: -33.5% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 32.5% |
| GDP - composition, by sector of origin: | industry: 14.8% |
| GDP - composition, by sector of origin: | services: 52.7% (2014 est.) |
| Agriculture - products: | coffee, tea, pyrethrum (insecticide made from chrysanthemums), bananas, beans, sorghum, potatoes; livestock |
| Industries: | cement, agricultural products, small-scale beverages, soap, furniture, shoes, plastic goods, textiles, cigarettes |
| Industrial production growth rate: | 7.1% (2014 est.) |
| Labor force: | 6.061 million (2014 est.) |
| Labor force - by occupation: | agriculture: 90% |
| Labor force - by occupation: | industry and services: 10% (2000) |
| Unemployment rate: | NA% |
| Population below poverty line: | 44.9% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 43.2% (2011 est.) |
| Distribution of family income - Gini index: | 46.8 (2000) |
| Distribution of family income - Gini index: | 28.9 (1985) |
| Budget: | revenues: $1.953 billion |
| Budget: | expenditures: $2.249 billion (2014 est.) |
| Taxes and other revenues: | 24.4% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.7% of GDP (2014 est.) |
| Public debt: | 31.4% of GDP (2014 est.) |
| Public debt: | 29.7% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2014 est.) |
| Inflation rate (consumer prices): | 4.2% (2013 est.) |
| Central bank discount rate: | 7.75% (31 December 2010) |
| Central bank discount rate: | 11.25% (31 December 2008) |
| Commercial bank prime lending rate: | 17.2% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 17.3% (31 December 2013 est.) |
| Stock of narrow money: | $833 million (31 December 2014 est.) |
| Stock of narrow money: | $739.5 million (31 December 2013 est.) |
| Stock of broad money: | $1.387 billion (31 December 2014 est.) |
| Stock of broad money: | $1.245 billion (31 December 2013 est.) |
| Stock of domestic credit: | $1.141 billion (31 December 2014 est.) |
| Stock of domestic credit: | $846.8 million (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$964 million (2014 est.) |
| Current account balance: | -$562 million (2013 est.) |
| Exports: | $720 million (2014 est.) |
| Exports: | $703 million (2013 est.) |
| Exports - commodities: | coffee, tea, hides, tin ore |
| Exports - partners: | China 18.7%, Democratic Republic of the Congo 16.1%, Malaysia 10.3%, Thailand 8.6%, US 8.2%, Swaziland 6.4%, Germany 5.8%, Pakistan 5% (2014) |
| Imports: | $1.898 billion (2014 est.) |
| Imports: | $1.852 billion (2013 est.) |
| Imports - commodities: | foodstuffs, machinery and equipment, steel, petroleum products, cement and construction material |
| Imports - partners: | Uganda 15.6%, Kenya 11.8%, India 9.8%, China 8.3%, UAE 8.3%, Tanzania 5%, Belgium 5% (2014) |
| Reserves of foreign exchange and gold: | $1.128 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $1.071 billion (31 December 2013 est.) |
| Debt - external: | $1.901 billion (31 December 2014 est.) |
| Debt - external: | $1.8 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.016 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $853.9 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $12.9 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $12.9 million (31 December 2013 est.) |
| Exchange rates: | Rwandan francs (RWF) per US dollar - |
| Exchange rates: | 684.3 (2014 est.) |
| Exchange rates: | 644.4 (2013 est.) |
| Exchange rates: | 616.6 (2012 est.) |
| Exchange rates: | 601.83 (2011 est.) |
| Exchange rates: | 583.13 (2010 est.) |
