| Economy | El Salvador |
| GDP - composition, by end use: | household consumption: 93.2% |
| GDP - composition, by end use: | government consumption: 11% |
| GDP - composition, by end use: | investment in fixed capital: 14.2% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 28.2% |
| GDP - composition, by end use: | imports of goods and services: -46.6% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.2% |
| GDP - composition, by sector of origin: | industry: 29% |
| GDP - composition, by sector of origin: | services: 60.8% (2012 est.) |
| Agriculture - products: | coffee, sugar, corn, rice, beans, oilseed, cotton, sorghum; beef, dairy products |
| Industries: | food processing, beverages, petroleum, chemicals, fertilizer, textiles, furniture, light metals |
| Industrial production growth rate: | 1.8% (2012 est.) |
| Labor force: | 2.725 million (2012 est.) |
| Labor force - by occupation: | agriculture: 21% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 58% (2011 est.) |
| Unemployment rate: | 6.1% (2012 est.) |
| Unemployment rate: | 6.6% (2011 est.) |
| Unemployment rate: | note: data are official rates; but the economy has much underemployment |
| Population below poverty line: | 36.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1% |
| Household income or consumption by percentage share: | highest 10%: 37% (2009 est.) |
| Distribution of family income - Gini index: | 46.9 (2007) |
| Distribution of family income - Gini index: | 52.5 (2001) |
| Budget: | revenues: $4.621 billion |
| Budget: | expenditures: $5.435 billion (2012 est.) |
| Taxes and other revenues: | 19.6% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.5% of GDP (2012 est.) |
| Public debt: | 59.2% of GDP (2012 est.) |
| Public debt: | 53.6% of GDP (2011 est.) |
| Public debt: | note: El Salvador's total public debt includes non-financial public sector debt, financial public sector debt, and central bank debt |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2012 est.) |
| Inflation rate (consumer prices): | 5.1% (2011 est.) |
| Commercial bank prime lending rate: | 5.6% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.99% (31 December 2011 est.) |
| Stock of narrow money: | $2.796 billion (31 December 2012 est.) |
| Stock of narrow money: | $2.781 billion (31 December 2011 est.) |
| Stock of broad money: | $9.527 billion (31 December 2012 est.) |
| Stock of broad money: | $9.213 billion (31 December 2011 est.) |
| Stock of domestic credit: | $10.51 billion (31 December 2012 est.) |
| Stock of domestic credit: | $10.82 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $5.474 billion (31 December 2011) |
| Market value of publicly traded shares: | $4.227 billion (31 December 2010) |
| Market value of publicly traded shares: | $4.432 billion (31 December 2009) |
| Current account balance: | $-1.257 billion (2012 est.) |
| Current account balance: | $-1.137 billion (2011 est.) |
| Exports: | $5.447 billion (2012 est.) |
| Exports: | $5.401 billion (2011 est.) |
| Exports - commodities: | offshore assembly exports, coffee, sugar, textiles and apparel, gold, ethanol, chemicals, electricity, iron and steel manufactures |
| Exports - partners: | US 47.3%, Guatemala 13.8%, Honduras 9.6%, Nicaragua 5.4% (2012) |
| Imports: | $9.912 billion (2012 est.) |
| Imports: | $9.647 billion (2011 est.) |
| Imports - commodities: | raw materials, consumer goods, capital goods, fuels, foodstuffs, petroleum, electricity |
| Imports - partners: | US 35.4%, Guatemala 12.7%, Mexico 7%, China 5.6%, Germany 4.2% (2012) |
| Reserves of foreign exchange and gold: | $3.176 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $2.504 billion (31 December 2011 est.) |
| Debt - external: | $13.56 billion (31 December 2012 est.) |
| Debt - external: | $12 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $8.635 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $8.118 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $5.7 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $5.7 million (31 December 2011 est.) |
| Exchange rates: | note: the US dollar is used as a medium of exchange and circulates freely in the economy, 1 (2012 est.) |
| Exchange rates: | 1 (2011 est.) |
