| Economy | Armenia |
| Gross national saving: | 16.1% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 84.7% |
| GDP - composition, by end use: | government consumption: 13% |
| GDP - composition, by end use: | investment in fixed capital: 22.7% |
| GDP - composition, by end use: | investment in inventories: -0.9% |
| GDP - composition, by end use: | exports of goods and services: 23.6% |
| GDP - composition, by end use: | imports of goods and services: -43.1% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.6% |
| GDP - composition, by sector of origin: | industry: 37.3% |
| GDP - composition, by sector of origin: | services: 42.1% (2013 est.) |
| Agriculture - products: | fruit (especially grapes), vegetables; livestock |
| Industries: | diamond processing, metal-cutting machine tools, forging and pressing machines, electric motors, tires, knitted wear, hosiery, shoes, silk fabric, chemicals, trucks, instruments, microelectronics, jewelry, software, food processing, brandy, mining |
| Industrial production growth rate: | 3.9% (2013 est.) |
| Labor force: | 1.394 million (2013 est.) |
| Labor force - by occupation: | agriculture: 44.2% |
| Labor force - by occupation: | industry: 16.8% |
| Labor force - by occupation: | services: 39% (2008 est.) |
| Unemployment rate: | 17.3% (2012 est.) |
| Unemployment rate: | 18.4% (2011 est.) |
| Population below poverty line: | 35.8% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.7% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (2008) |
| Distribution of family income - Gini index: | 30.9 (2008) |
| Distribution of family income - Gini index: | 44.4 (1996) |
| Budget: | revenues: $2.677 billion |
| Budget: | expenditures: $2.707 billion (2013 est.) |
| Taxes and other revenues: | 25.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -0.3% of GDP (2013 est.) |
| Public debt: | 37.7% of GDP (2013 est.) |
| Public debt: | 41.4% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.2% (2013 est.) |
| Inflation rate (consumer prices): | 2.6% (2012 est.) |
| Central bank discount rate: | $NA (11 January 2012) |
| Central bank discount rate: | 7.25% (2 December 2008) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy instrument of the Armenian National Bank |
| Commercial bank prime lending rate: | 16.5% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 17.23% (31 December 2012 est.) |
| Commercial bank prime lending rate: | note: average lending rate on loans up to one year |
| Stock of narrow money: | $1.418 billion (31 December 2013 est.) |
| Stock of narrow money: | $1.352 billion (31 December 2012 est.) |
| Stock of broad money: | $2.051 billion (31 December 2013 est.) |
| Stock of broad money: | $1.829 billion (31 December 2012 est.) |
| Stock of domestic credit: | $4.355 billion (31 December 2012 est.) |
| Stock of domestic credit: | $3.548 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $132.1 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $139.6 million (31 December 2011) |
| Market value of publicly traded shares: | $144.8 million (31 December 2010 est.) |
| Current account balance: | -$720.6 million (2013 est.) |
| Current account balance: | -$1.052 billion (2012 est.) |
| Exports: | $1.653 billion (2013 est.) |
| Exports: | $1.588 billion (2012 est.) |
| Exports - commodities: | pig iron, unwrought copper, nonferrous metals, diamonds, mineral products, foodstuffs, energy |
| Exports - partners: | Russia 19.6%, Germany 10.7%, Bulgaria 9.1%, Belgium 8.9%, Iran 6.9%, US 6.1%, Canada 6%, Georgia 5.7%, Netherlands 5.6%, Switzerland 5% (2012) |
| Imports: | $3.459 billion (2013 est.) |
| Imports: | $3.656 billion (2012 est.) |
| Imports - commodities: | natural gas, petroleum, tobacco products, foodstuffs, diamonds |
| Imports - partners: | Russia 20%, Germany 11%, Bulgaria 9%, Belgium 9%, Iran 6.5%, US 6.1%, Canada 5.9%, Netherlands 5.6%, Georgia 5.6%, Switzerland 5.2% (2012 est.) |
| Reserves of foreign exchange and gold: | $1.863 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $1.799 billion (31 December 2012 est.) |
| Debt - external: | $7.839 billion (31 December 2013 est.) |
| Debt - external: | $7.633 billion (31 December 2012 est.) |
| Exchange rates: | drams (AMD) per US dollar - |
| Exchange rates: | 410.5 (2013 est.) |
| Exchange rates: | 401.76 (2012 est.) |
| Exchange rates: | 373.66 (2010 est.) |
| Exchange rates: | 363.28 (2009) |
| Exchange rates: | 303.93 (2008) |
