| Economy | Armenia |
| GDP - composition, by end use: | government consumption: 14.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 4.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 38.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -50.4% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 28.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 54.8% (2017 est.) |
| Agriculture - products: | fruit (especially grapes and apricots), vegetables; livestock |
| Industries: | brandy, mining, diamond processing, metal-cutting machine tools, forging and pressing machines, electric motors, knitted wear, hosiery, shoes, silk fabric, chemicals, trucks, instruments, microelectronics, jewelry, software, food processing |
| Industrial production growth rate: | 5.4% (2017 est.) |
| Labor force: | 1.507 million (2017 est.) |
| Labor force - by occupation: | agriculture: 36.3% |
| Labor force - by occupation: | industry: 17% |
| Labor force - by occupation: | services: 46.7% (2013 est.) |
| Unemployment rate: | 18.9% (2017 est.) |
| Unemployment rate: | 18.8% (2016 est.) |
| Population below poverty line: | 32% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 25.7% (2014) |
| Household income or consumption by percentage share: | highest 10%: 25.7% (2014) |
| Distribution of family income - Gini index: | 31.5 (2014) |
| Distribution of family income - Gini index: | 31.5 (2013 est.) |
| Budget: | revenues: 2.644 billion (2017 est.) |
| Budget: | expenditures: 3.192 billion (2017 est.) |
| Taxes and other revenues: | 22.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -4.8% (of GDP) (2017 est.) |
| Public debt: | 53.5% of GDP (2017 est.) |
| Public debt: | 51.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2017 est.) |
| Inflation rate (consumer prices): | -1.4% (2016 est.) |
| Central bank discount rate: | 6.5% (14 December 2016) |
| Central bank discount rate: | 10.5% (10 February 2015) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy instrument of the Armenian National Bank |
| Commercial bank prime lending rate: | 14.41% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 17.36% (31 December 2016 est.) |
| Commercial bank prime lending rate: | note: average lending rate on loans up to one year |
| Stock of narrow money: | $1.629 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.355 billion (31 December 2016 est.) |
| Stock of broad money: | $1.629 billion (31 December 2017 est.) |
| Stock of broad money: | $1.355 billion (31 December 2016 est.) |
| Stock of domestic credit: | $6.712 billion (31 December 2017 est.) |
| Stock of domestic credit: | $5.689 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $132.1 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $139.6 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $144.8 million (31 December 2010 est.) |
| Current account balance: | -$328 million (2017 est.) |
| Current account balance: | -$238 million (2016 est.) |
| Exports: | $2.361 billion (2017 est.) |
| Exports: | $1.891 billion (2016 est.) |
| Exports - partners: | Russia 24.2%, Bulgaria 12.8%, Switzerland 12%, Georgia 6.9%, Germany 5.9%, China 5.5%, Iraq 5.4%, UAE 4.6%, Netherlands 4.1% (2017) |
| Exports - commodities: | unwrought copper, pig iron, nonferrous metals, gold, diamonds, mineral products, foodstuffs, brandy, cigarettes, energy |
| Imports: | $3.771 billion (2017 est.) |
| Imports: | $2.835 billion (2016 est.) |
| Imports - commodities: | natural gas, petroleum, tobacco products, foodstuffs, diamonds, pharmaceuticals, cars |
| Imports - partners: | Russia 28%, China 11.5%, Turkey 5.5%, Germany 4.9%, Iran 4.3% (2017) |
| Reserves of foreign exchange and gold: | $2.314 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.204 billion (31 December 2016 est.) |
| Debt - external: | $10.41 billion (31 December 2017 est.) |
| Debt - external: | $8.987 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $4.169 billion (2015 est.) |
| Stock of direct foreign investment - at home: | $4.087 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $228 million (2015 est.) |
| Stock of direct foreign investment - abroad: | $215 million (2014 est.) |
| Exchange rates: | drams (AMD) per US dollar - |
| Exchange rates: | 487.9 (2017 est.) |
| Exchange rates: | 480.49 (2016 est.) |
| Exchange rates: | 480.49 (2015 est.) |
| Exchange rates: | 477.92 (2014 est.) |
| Exchange rates: | 415.92 (2013 est.) |
