| Economy | Ecuador |
| Household income or consumption by percentage share: | highest 10%: 35.4% (2012 est.) |
| Household income or consumption by percentage share: | note: data are for urban households only |
| Distribution of family income - Gini index: | 45.9 (December 2017) |
| Distribution of family income - Gini index: | 48.5 (December 2017) |
| Distribution of family income - Gini index: | note: data are for urban households only |
| Budget: | revenues: 33.43 billion (2017 est.) |
| Budget: | expenditures: 38.08 billion (2017 est.) |
| Taxes and other revenues: | 32% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -4.5% (of GDP) (2017 est.) |
| Public debt: | 45.4% of GDP (2017 est.) |
| Public debt: | 43.2% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.4% (2017 est.) |
| Inflation rate (consumer prices): | 1.7% (2016 est.) |
| Central bank discount rate: | 8.17% (31 December 2011) |
| Central bank discount rate: | 8.68% (31 December 2010) |
| Commercial bank prime lending rate: | 7.92% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 8.69% (31 December 2016 est.) |
| Stock of narrow money: | $9.578 billion (31 December 2017 est.) |
| Stock of narrow money: | $9.281 billion (31 December 2016 est.) |
| Stock of broad money: | $9.578 billion (31 December 2017 est.) |
| Stock of broad money: | $9.281 billion (31 December 2016 est.) |
| Stock of domestic credit: | $39.3 billion (31 December 2017 est.) |
| Stock of domestic credit: | $35.56 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $6.838 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $6.065 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $6.615 billion (31 December 2015 est.) |
| Current account balance: | -$349 million (2017 est.) |
| Current account balance: | $1.442 billion (2016 est.) |
| Exports: | $19.62 billion (2017 est.) |
| Exports: | $16.8 billion (2016 est.) |
| Exports - partners: | US 31.5%, Vietnam 7.6%, Peru 6.7%, Chile 6.5%, Panama 4.9%, Russia 4.4%, China 4% (2017) |
| Exports - commodities: | petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish |
| Imports: | $19.31 billion (2017 est.) |
| Imports: | $15.86 billion (2016 est.) |
| Imports - commodities: | industrial materials, fuels and lubricants, nondurable consumer goods |
| Imports - partners: | US 22.8%, China 15.4%, Colombia 8.7%, Panama 6.4%, Brazil 4.4%, Peru 4.2% (2017) |
| Reserves of foreign exchange and gold: | $2.395 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $4.259 billion (31 December 2016 est.) |
| Debt - external: | $39.29 billion (31 December 2017 est.) |
| Debt - external: | $38.14 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $17.25 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $16.63 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2012 est.) |
| Exchange rates: | the US dollar became Ecuador's currency in 2001 |
