| Economy | Ecuador |
| GDP - per capita (PPP): | $10,600 (2013 est.) |
| GDP - per capita (PPP): | $9,600 (2012 est.) |
| GDP - per capita (PPP): | $9,200 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 26% of GDP (2013 est.) |
| Gross national saving: | 21.3% of GDP (2012 est.) |
| Gross national saving: | 19.7% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 62.4% |
| GDP - composition, by end use: | government consumption: 13.4% |
| GDP - composition, by end use: | investment in fixed capital: 26.6% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 29.4% |
| GDP - composition, by end use: | imports of goods and services: -32.1% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.9% |
| GDP - composition, by sector of origin: | industry: 35.1% |
| GDP - composition, by sector of origin: | services: 59% (2013 est.) |
| Agriculture - products: | bananas, coffee, cocoa, rice, potatoes, cassava (manioc, tapioca), plantains, sugarcane; cattle, sheep, pigs, beef, pork, dairy products; fish, shrimp; balsa wood |
| Industries: | petroleum, food processing, textiles, wood products, chemicals |
| Industrial production growth rate: | 3.1% |
| Industrial production growth rate: | note: excludes oil refining (2013 est.) |
| Labor force: | 6.953 million (2013 est.) |
| Labor force - by occupation: | agriculture: 27.8% |
| Labor force - by occupation: | industry: 17.8% |
| Labor force - by occupation: | services: 54.4% (2012) |
| Unemployment rate: | 4.2% (2013 est.) |
| Unemployment rate: | 4.2% (2011 est.) |
| Population below poverty line: | 25.6% (December 2013 est) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 38.3% |
| Household income or consumption by percentage share: | note: data for urban households only (2010 est.) |
| Distribution of family income - Gini index: | 48.5 (December 2013) |
| Distribution of family income - Gini index: | 50.5 (December 2010) |
| Distribution of family income - Gini index: | note: data are for urban households |
| Budget: | revenues: $37 billion |
| Budget: | expenditures: $39.3 billion (2013 est.) |
| Taxes and other revenues: | 40.5% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.5% of GDP (2013 est.) |
| Public debt: | 23.2% of GDP (2013 est.) |
| Public debt: | 21% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.6% (2013 est.) |
| Inflation rate (consumer prices): | 4.5% (2011 est.) |
| Central bank discount rate: | 8.17% (31 December 2011) |
| Central bank discount rate: | 8.68% (31 December 2010) |
| Commercial bank prime lending rate: | 8.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 8.17% (31 December 2012 est.) |
| Stock of narrow money: | $8.59 billion (31 December 2013 est.) |
| Stock of narrow money: | $7.801 billion (31 December 2012 est.) |
| Stock of broad money: | $27.75 billion (31 December 2013 est.) |
| Stock of broad money: | $24.68 billion (31 December 2012 est.) |
| Stock of domestic credit: | $25.4 billion (31 December 2013 est.) |
| Stock of domestic credit: | $22.5 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.911 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.779 billion (31 December 2011) |
| Market value of publicly traded shares: | $5.263 billion (31 December 2010 est.) |
| Current account balance: | -$827.1 million (2013 est.) |
| Current account balance: | -$177 million (2012 est.) |
| Exports: | $25.48 billion (2013 est.) |
| Exports: | $24.65 billion (2012 est.) |
| Exports - commodities: | petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish |
| Exports - partners: | US 37.3%, Chile 8.1%, Peru 6.5%, Japan 4.5%, Russia 4.5%, Colombia 4% (2012) |
| Imports: | $26.22 billion (2013 est.) |
| Imports: | $24.58 billion (2012 est.) |
| Imports - commodities: | industrial materials, fuels and lubricants, nondurable consumer goods |
| Imports - partners: | US 28.4%, China 11.3%, Colombia 8.8%, Peru 4.5% (2012) |
| Reserves of foreign exchange and gold: | $2.625 billion (.) |
| Reserves of foreign exchange and gold: | $2.483 billion (31 December 2012 est.) |
| Debt - external: | $19.91 billion (31 December 2013 est.) |
| Debt - external: | $17.68 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $17.89 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $17.3 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2011 est.) |
| Exchange rates: | the US dollar became Ecuador's currency in 2001 |
