| Economy | Ecuador |
| GDP - composition, by end use: | investment in inventories: 0.9% |
| GDP - composition, by end use: | exports of goods and services: 31.2% |
| GDP - composition, by end use: | imports of goods and services: -33.2% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.9% |
| GDP - composition, by sector of origin: | industry: 35.2% |
| GDP - composition, by sector of origin: | services: 58.8% (2012 est.) |
| Agriculture - products: | bananas, coffee, cocoa, rice, potatoes, manioc (tapioca), plantains, sugarcane; cattle, sheep, pigs, beef, pork, dairy products; fish, shrimp; balsa wood |
| Industries: | petroleum, food processing, textiles, wood products, chemicals |
| Industrial production growth rate: | 5.6% |
| Industrial production growth rate: | note: excludes oil refining (2012 est.) |
| Labor force: | 4.769 million (2012 est.) |
| Labor force - by occupation: | agriculture: 27.6% |
| Labor force - by occupation: | industry: 18.8% |
| Labor force - by occupation: | services: 53.6% (2010 est.) |
| Unemployment rate: | 4.9% (2012 est.) |
| Unemployment rate: | 6% (2011 est.) |
| Population below poverty line: | 27.3% (December 2012 est) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 38.3% |
| Household income or consumption by percentage share: | note: data for urban households only (2010 est.) |
| Distribution of family income - Gini index: | 47.7 (December 2012) |
| Distribution of family income - Gini index: | 50.5 (2006) |
| Distribution of family income - Gini index: | note: data are for urban households |
| Budget: | revenues: $34.53 billion |
| Budget: | expenditures: $35.48 billion (2012 est.) |
| Taxes and other revenues: | 41.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -1.1% of GDP (2012 est.) |
| Public debt: | 21% of GDP (2012 est.) |
| Public debt: | 17.8% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.1% (2012 est.) |
| Inflation rate (consumer prices): | 4.5% (2011 est.) |
| Central bank discount rate: | 8.17% (31 December 2011) |
| Central bank discount rate: | 8.68% (31 December 2010) |
| Commercial bank prime lending rate: | 8.17% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 8.35% (31 December 2011 est.) |
| Stock of narrow money: | $7.801 billion (31 December 2012 est.) |
| Stock of narrow money: | $6.943 billion (31 December 2011 est.) |
| Stock of broad money: | $26.55 billion (31 December 2011 est.) |
| Stock of broad money: | $22.18 billion (31 December 2010 est.) |
| Stock of domestic credit: | $22.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $20.05 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $5.779 billion (31 December 2011) |
| Market value of publicly traded shares: | $5.263 billion (31 December 2010) |
| Market value of publicly traded shares: | $4.248 billion (31 December 2009) |
| Current account balance: | $-177 million (2012 est.) |
| Current account balance: | $-225 million (2011 est.) |
| Exports: | $24.65 billion (2012 est.) |
| Exports: | $23.08 billion (2011 est.) |
| Exports - commodities: | petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish |
| Exports - partners: | US 37.3%, Chile 8.1%, Peru 6.5%, Japan 4.5%, Russia 4.5%, Colombia 4% (2012) |
| Imports: | $24.58 billion (2012 est.) |
| Imports: | $23.24 billion (2011 est.) |
| Imports - commodities: | industrial materials, fuels and lubricants, nondurable consumer goods |
| Imports - partners: | US 28.4%, China 11.3%, Colombia 8.8%, Peru 4.5% (2012) |
| Reserves of foreign exchange and gold: | $2.483 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $2.958 billion (31 December 2011 est.) |
| Debt - external: | $17.68 billion (31 December 2012 est.) |
| Debt - external: | $16.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $17.3 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $16.71 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2011 est.) |
| Exchange rates: | the US dollar became Ecuador's currency in 2001 |
