| Economy | Australia |
| Imports - partners: | China 18.4%, US 11.7%, Japan 7.9%, Singapore 6%, Germany 4.6%, Thailand 4.2%, South Korea 4.1% (2012) |
| Reserves of foreign exchange and gold: | $49.15 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $46.83 billion (31 December 2011 est.) |
| Debt - external: | $1.497 trillion (31 December 2012 est.) |
| Debt - external: | $1.383 trillion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $610.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $551.9 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $426 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $379.2 billion (31 December 2011 est.) |
| Exchange rates: | Australian dollars (AUD) per US dollar - |
| Exchange rates: | 0.97 (2012 est.) |
| Exchange rates: | 0.97 (2011 est.) |
| Exchange rates: | 1.09 (2010) |
| Exchange rates: | 1.28 (2009) |
| Exchange rates: | 1.21 (2008) |
