| Economy | Australia |
| Budget surplus (+) or deficit (-): | -0.5% (of GDP) (2017 est.) |
| Public debt: | 40.8% of GDP (2017 est.) |
| Public debt: | 40.6% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Current account balance: | $8.146 billion (2019 est.) |
| Current account balance: | -$29.777 billion (2018 est.) |
| Exports: | $404.562 billion (2019 est.) |
| Exports: | $391.563 billion (2018 est.) |
| Exports: | $372.516 billion (2017 est.) |
| Exports - partners: | China 33.5%, Japan 14.6%, South Korea 6.6%, India 5%, Hong Kong 4% (2017) |
| Exports - commodities: | iron ore, coal, gold, natural gas, beef, aluminum ores and conc, wheat, meat (excluding beef), wool, alumina, alcohol |
| Imports: | $334.279 billion (2019 est.) |
| Imports: | $337.716 billion (2018 est.) |
| Imports: | $324.644 billion (2017 est.) |
| Imports - commodities: | motor vehicles, refined petroleum, telecommunication equipment and parts; crude petroleum, medicaments, goods vehicles, gold, computers |
| Imports - partners: | China 22.9%, US 10.8%, Japan 7.5%, Thailand 5.1%, Germany 4.9%, South Korea 4.5% (2017) |
| Reserves of foreign exchange and gold: | $66.58 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $55.07 billion (31 December 2016 est.) |
| Debt - external: | $1.714 trillion (31 December 2017 est.) |
| Debt - external: | $1.547 trillion (31 December 2016 est.) |
| Exchange rates: | Australian dollars (AUD) per US dollar - |
| Exchange rates: | 1.34048 (2020 est.) |
| Exchange rates: | 1.46402 (2019 est.) |
| Exchange rates: | 1.38552 (2018 est.) |
| Exchange rates: | 1.3291 (2014 est.) |
| Exchange rates: | 1.1094 (2013 est.) |
