| Economy | Australia |
| GDP - composition, by end use: | investment in fixed capital: 24.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 21.5% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -21% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 25.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 71.2% (2017 est.) |
| Agriculture - products: | wheat, barley, sugarcane, fruits; cattle, sheep, poultry |
| Industries: | mining, industrial and transportation equipment, food processing, chemicals, steel |
| Industrial production growth rate: | 1.4% (2017 est.) |
| Labor force: | 12.91 million (2017 est.) |
| Labor force - by occupation: | agriculture: 3.6% |
| Labor force - by occupation: | industry: 21.1% |
| Labor force - by occupation: | services: 75.3% (2009 est.) |
| Unemployment rate: | 5.6% (2017 est.) |
| Unemployment rate: | 5.7% (2016 est.) |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (1994) |
| Distribution of family income - Gini index: | 30.3 (2008) |
| Distribution of family income - Gini index: | 35.2 (1994) |
| Budget: | revenues: 490 billion (2017 est.) |
| Budget: | expenditures: 496.9 billion (2017 est.) |
| Taxes and other revenues: | 35.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.5% (of GDP) (2017 est.) |
| Public debt: | 40.8% of GDP (2017 est.) |
| Public debt: | 40.6% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 2% (2017 est.) |
| Inflation rate (consumer prices): | 1.3% (2016 est.) |
| Central bank discount rate: | 3% (28 February 2013) |
| Central bank discount rate: | 4.35% (31 December 2010) |
| Central bank discount rate: | note: this is the Reserve Bank of Australia's "cash rate target," or policy rate |
| Commercial bank prime lending rate: | 5.24% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.42% (31 December 2016 est.) |
| Stock of narrow money: | $277.7 billion (31 December 2017 est.) |
| Stock of narrow money: | $243.6 billion (31 December 2016 est.) |
| Stock of broad money: | $277.7 billion (31 December 2017 est.) |
| Stock of broad money: | $243.6 billion (31 December 2016 est.) |
| Stock of domestic credit: | $2.384 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $2.097 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $1.187 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.289 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.366 trillion (31 December 2013 est.) |
| Current account balance: | -$36.01 billion (2017 est.) |
| Current account balance: | -$41.45 billion (2016 est.) |
| Exports: | $231.6 billion (2017 est.) |
| Exports: | $191.7 billion (2016 est.) |
| Exports - partners: | China 33.5%, Japan 14.6%, South Korea 6.6%, India 5%, Hong Kong 4% (2017) |
| Exports - commodities: | iron ore, coal, gold, natural gas, beef, aluminum ores and conc, wheat, meat (excluding beef), wool, alumina, alcohol |
| Imports: | $221 billion (2017 est.) |
| Imports: | $198.7 billion (2016 est.) |
| Imports - commodities: | motor vehicles, refined petroleum, telecommunication equipment and parts; crude petroleum, medicaments, goods vehicles, gold, computers |
| Imports - partners: | China 22.9%, US 10.8%, Japan 7.5%, Thailand 5.1%, Germany 4.9%, South Korea 4.5% (2017) |
| Reserves of foreign exchange and gold: | $66.58 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $55.07 billion (31 December 2016 est.) |
| Debt - external: | $1.714 trillion (31 December 2017 est.) |
| Debt - external: | $1.547 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $700.6 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $617.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $509.7 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $441.4 billion (31 December 2016 est.) |
| Exchange rates: | Australian dollars (AUD) per US dollar - |
| Exchange rates: | 1.311 (2017 est.) |
| Exchange rates: | 1.3442 (2016 est.) |
| Exchange rates: | 1.3442 (2015 est.) |
| Exchange rates: | 1.3291 (2014 est.) |
| Exchange rates: | 1.1094 (2013 est.) |
