| Economy | Serbia |
| Agriculture - products: | wheat, maize, sunflower, sugar beets, grapes/wine, fruits (raspberries, apples, sour cherries), vegetables (tomatoes, peppers, potatoes), beef, pork, and meat products, milk and dairy products |
| Industries: | automobiles, base metals, furniture, food processing, machinery, chemicals, sugar, tires, clothes, pharmaceuticals |
| Industrial production growth rate: | 3.9% (2017 est.) |
| Labor force: | 3 million (2020 est.) |
| Labor force - by occupation: | agriculture: 19.4% |
| Labor force - by occupation: | industry: 24.5% |
| Labor force - by occupation: | services: 56.1% (2017 est.) |
| Unemployment rate: | 14.1% (2017 est.) |
| Unemployment rate: | 15.9% (2016 est.) |
| Population below poverty line: | 8.9% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 23.8% (2011) |
| Budget: | revenues: 17.69 billion (2017 est.) |
| Budget: | expenditures: 17.59 billion (2017 est.) |
| Budget: | note: data include both central government and local goverment budgets |
| Taxes and other revenues: | 42.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.2% (of GDP) (2017 est.) |
| Public debt: | 62.5% of GDP (2017 est.) |
| Public debt: | 73.1% of GDP (2016 est.) |
| Current account balance: | -$2.354 billion (2017 est.) |
| Current account balance: | -$1.189 billion (2016 est.) |
| Exports: | $15.92 billion (2017 est.) |
| Exports: | $13.99 billion (2016 est.) |
| Exports - partners: | Italy 13.5%, Germany 12.8%, Bosnia and Herzegovina 8.2%, Russia 6%, Romania 4.9% (2017) |
| Exports - commodities: | automobiles, iron and steel, rubber, clothes, wheat, fruit and vegetables, nonferrous metals, electric appliances, metal products, weapons and ammunition |
| Imports: | $20.44 billion (2017 est.) |
| Imports: | $17.63 billion (2016 est.) |
| Imports - commodities: | machinery and transport equipment, fuels and lubricants, manufactured goods, chemicals, food and live animals, raw materials |
| Imports - partners: | Germany 12.7%, Italy 10%, China 8.2%, Russia 7.3%, Hungary 4.9%, Poland 4.1% (2017) |
| Reserves of foreign exchange and gold: | $11.91 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $10.76 billion (31 December 2016 est.) |
| Debt - external: | $29.5 billion (31 December 2017 est.) |
| Debt - external: | $30.38 billion (31 December 2016 est.) |
| Exchange rates: | Serbian dinars (RSD) per US dollar - |
| Exchange rates: | 112.4 (2017 est.) |
| Exchange rates: | 111.278 (2016 est.) |
| Exchange rates: | 111.278 (2015 est.) |
| Exchange rates: | 108.811 (2014 est.) |
| Exchange rates: | 88.405 (2013 est.) |
