| Economy | NIGER |
| Exports - commodities: | uranium ore, livestock, cowpeas, onions |
| Exports - partners: | France 31.3%, Thailand 11.6%, Malaysia 11.1%, Nigeria 9.5%, Mali 5.6%, China 5.3% (2016) |
| Imports: | $2.031 billion (2016 est.) |
| Imports: | $1.976 billion (2015 est.) |
| Imports - commodities: | foodstuffs, machinery, vehicles and parts, petroleum, cereals |
| Imports - partners: | France 28.3%, China 16.1%, US 7.8%, Nigeria 5.8%, Thailand 5.8% (2016) |
| Debt - external: | $2.926 billion (31 December 2016 est.) |
| Debt - external: | $2.892 billion (31 December 2015 est.) |
| Exchange rates: | Communaute Financiere Africaine francs (XOF) per US dollar - |
| Exchange rates: | 593.01 (2016 est.) |
| Exchange rates: | 593.01 (2015 est.) |
| Exchange rates: | 591.45 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
| Exchange rates: | 510.53 (2012 est.) |
