| Economy | Tanzania |
| Labor force - by occupation: | agriculture: 80% |
| Labor force - by occupation: | industry and services: 20% (2002 est.) |
| Unemployment rate: | NA% |
| Population below poverty line: | 36% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2007) |
| Distribution of family income - Gini index: | 37.6 (2007) |
| Distribution of family income - Gini index: | 34.6 (2000) |
| Budget: | revenues: $7.117 billion |
| Budget: | expenditures: $8.917 billion (2013 est.) |
| Taxes and other revenues: | 22.3% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -5.6% of GDP (2013 est.) |
| Public debt: | 42.7% of GDP (2013 est.) |
| Public debt: | 41.7% of GDP (2012 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 7.8% (2013 est.) |
| Inflation rate (consumer prices): | 16% (2012 est.) |
| Central bank discount rate: | 8.25% (31 December 2010 est.) |
| Central bank discount rate: | 3.7% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 13.6% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 15.46% (31 December 2012 est.) |
| Stock of narrow money: | $4.594 billion (31 December 2013 est.) |
| Stock of narrow money: | $4.16 billion (31 December 2012 est.) |
| Stock of broad money: | $7.702 billion (31 December 2013 est.) |
| Stock of broad money: | $6.824 billion (31 December 2012 est.) |
| Stock of domestic credit: | $7.326 billion (31 December 2013 est.) |
| Stock of domestic credit: | $7.061 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.803 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.539 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.264 billion (31 December 2010 est.) |
| Current account balance: | -$4.857 billion (2013 est.) |
| Current account balance: | -$4.195 billion (2012 est.) |
| Exports: | $5.92 billion (2013 est.) |
| Exports: | $5.912 billion (2012 est.) |
| Exports - commodities: | gold, coffee, cashew nuts, manufactures, cotton |
| Exports - partners: | India 15.2%, China 11.1%, Japan 6.2%, Germany 5.1%, UAE 4.8% (2012) |
| Imports: | $11.16 billion (2013 est.) |
| Imports: | $10.32 billion (2012 est.) |
| Imports - commodities: | consumer goods, machinery and transportation equipment, industrial raw materials, crude oil |
| Imports - partners: | China 21.3%, India 16.3%, South Africa 6.4%, Kenya 6%, UAE 5% (2012) |
| Reserves of foreign exchange and gold: | $4.343 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $4.053 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | note: excludes gold |
| Debt - external: | $13.82 billion (31 December 2013 est.) |
| Debt - external: | $11.82 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Tanzanian shillings (TZS) per US dollar - |
| Exchange rates: | 1,609.2 (2013 est.) |
| Exchange rates: | 1,583 (2012 est.) |
| Exchange rates: | 1,409.3 (2010 est.) |
| Exchange rates: | 1,320.3 (2009) |
| Exchange rates: | 1,178.1 (2008) |
