| Economy | BELGIUM |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions; general government debt is defined by the Maastricht definition and calculated by the National Bank of Belgium as consolidated gross debt; the debt is defined in European Regulation EC479/2009 concerning the implementation of the protocol on the excessive deficit procedure annexed to the Treaty on European Union (Treaty of Maastricht) of 7 February 1992; the sub-sectors of consolidated gross debt are: federal government, communities and regions, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2016 est.) |
| Inflation rate (consumer prices): | 0.6% (2015 est.) |
| Central bank discount rate: | 0.25% (31 December 2016) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2.01% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 2.46% (31 December 2015 est.) |
| Stock of narrow money: | $198 billion (31 December 2016 est.) |
| Stock of narrow money: | $181.6 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $525.8 billion (31 December 2016 est.) |
| Stock of broad money: | $524.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $684.8 billion (31 December 2016 est.) |
| Stock of domestic credit: | $661.2 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $414.6 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $378.5 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $374.3 billion (31 December 2013 est.) |
| Current account balance: | $-1.849 billion (2016 est.) |
| Current account balance: | $1.936 billion (2015 est.) |
| Exports: | $277.7 billion (2016 est.) |
| Exports: | $254.8 billion (2015 est.) |
| Exports - commodities: | chemicals, machinery and equipment, finished diamonds, metals and metal products, foodstuffs |
| Exports - partners: | Germany 16.7%, France 15.4%, Netherlands 11.2%, UK 8.9%, US 5.8%, Italy 5.2% (2016) |
| Imports: | $271.2 billion (2016 est.) |
| Imports: | $251.9 billion (2015 est.) |
| Imports - commodities: | raw materials, machinery and equipment, chemicals, raw diamonds, pharmaceuticals, foodstuffs, transportation equipment, oil products |
| Imports - partners: | Netherlands 16.1%, Germany 13.6%, France 9.5%, US 8.1%, UK 4.8%, Ireland 4.5%, China 4.3% (2016) |
| Reserves of foreign exchange and gold: | $23.57 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $24.1 billion (31 December 2015 est.) |
| Debt - external: | $1.281 trillion (31 March 2016 est.) |
| Debt - external: | $1.214 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $1.054 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.034 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.016 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.012 trillion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
