| Economy | AUSTRIA |
| Labor force - by occupation: | agriculture: 0.7% |
| Labor force - by occupation: | industry: 25.3% |
| Labor force - by occupation: | services: 74% (2015 est.) |
| Unemployment rate: | 5.7% (2015 est.) |
| Unemployment rate: | 5.6% (2014 est.) |
| Population below poverty line: | 4% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 23.5% (2012 est.) |
| Distribution of family income - Gini index: | 29.2 (2013) |
| Distribution of family income - Gini index: | 26.3 (2007) |
| Budget: | revenues: $189.1 billion |
| Budget: | expenditures: $193.1 billion (2015 est.) |
| Taxes and other revenues: | 50.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.1% of GDP (2015 est.) |
| Public debt: | 86.2% of GDP (2015 est.) |
| Public debt: | 84.3% of GDP (2014 est.) |
| Public debt: | note: this is general government gross debt, defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year; it covers the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the sub-sectors of central government, state government, local government and social security funds; as a percentage of GDP, the GDP used as a denominator is the gross domestic product in current year prices |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.8% (2015 est.) |
| Inflation rate (consumer prices): | 1.5% (2014 est.) |
| Commercial bank prime lending rate: | 2% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 2.15% (31 December 2014 est.) |
| Stock of narrow money: | $193.9 billion (31 December 2015 est.) |
| Stock of narrow money: | $191.8 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $428.9 billion (31 December 2014 est.) |
| Stock of broad money: | $439.3 billion (31 December 2013 est.) |
| Stock of domestic credit: | $462.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $507.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $106 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $82.37 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $67.68 billion (31 December 2013 est.) |
| Current account balance: | $13.46 billion (2015 est.) |
| Current account balance: | $8.437 billion (2014 est.) |
| Exports: | $142.9 billion (2015 est.) |
| Exports: | $166 billion (2014 est.) |
| Exports - commodities: | machinery and equipment, motor vehicles and parts, paper and paperboard, metal goods, chemicals, iron and steel, textiles, foodstuffs |
| Exports - partners: | Germany 29.4%, US 6.4%, Italy 6.1%, Switzerland 5.7%, France 4.4%, Slovakia 4.2% (2015) |
| Imports: | $140 billion (2015 est.) |
| Imports: | $164 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, motor vehicles, chemicals, metal goods, oil and oil products, natural gas; foodstuffs |
| Imports - partners: | Germany 41.5%, Italy 6.3%, Switzerland 6%, Czech Republic 4.2% (2015) |
| Reserves of foreign exchange and gold: | $22.24 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $24.94 billion (31 December 2014 est.) |
| Debt - external: | $675 billion (30 September 2015 est.) |
| Debt - external: | $740.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $294.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $321 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $349.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $367.2 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
