| Economy | ECUADOR |
| Inflation rate (consumer prices): | 4% (2015 est.) |
| Inflation rate (consumer prices): | 3.6% (2014 est.) |
| Central bank discount rate: | 8.17% (31 December 2011) |
| Central bank discount rate: | 8.68% (31 December 2010) |
| Commercial bank prime lending rate: | 8.33% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.12% (31 December 2014 est.) |
| Stock of narrow money: | $9.527 billion (31 December 2015 est.) |
| Stock of narrow money: | $9.531 billion (31 December 2014 est.) |
| Stock of broad money: | $34.53 billion (31 December 2014 est.) |
| Stock of broad money: | $28.44 billion (31 December 2013 est.) |
| Stock of domestic credit: | $33.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $31.97 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $5.911 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.779 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $5.263 billion (31 December 2010 est.) |
| Current account balance: | -$2.819 billion (2015 est.) |
| Current account balance: | -$567 million (2014 est.) |
| Exports: | $19.05 billion (2015 est.) |
| Exports: | $26.6 billion (2014 est.) |
| Exports - commodities: | petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish |
| Exports - partners: | US 39.5%, Chile 6.2%, Peru 5.1%, Vietnam 4.3%, Colombia 4.3% (2015) |
| Imports: | $20.7 billion (2015 est.) |
| Imports: | $26.66 billion (2014 est.) |
| Imports - commodities: | industrial materials, fuels and lubricants, nondurable consumer goods |
| Imports - partners: | US 27.1%, China 15.3%, Colombia 8.3%, Panama 4.9% (2015) |
| Reserves of foreign exchange and gold: | $2.496 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $3.949 billion (31 December 2014 est.) |
| Debt - external: | $30.79 billion (31 December 2015 est.) |
| Debt - external: | $26.33 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $15.63 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $14.57 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2011 est.) |
| Exchange rates: | the US dollar became Ecuador's currency in 2001 |
