| Economy | ECUADOR |
| Inflation rate (consumer prices): | 3.6% (2014 est.) |
| Inflation rate (consumer prices): | 2.7% (2013 est.) |
| Central bank discount rate: | 8.17% (31 December 2011) |
| Central bank discount rate: | 8.68% (31 December 2010) |
| Commercial bank prime lending rate: | 8.5% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 8.17% (31 December 2013 est.) |
| Stock of narrow money: | $10.81 billion (31 December 2014 est.) |
| Stock of narrow money: | $9.274 billion (31 December 2013 est.) |
| Stock of broad money: | $34.53 billion (31 December 2014 est.) |
| Stock of broad money: | $28.44 billion (31 December 2013 est.) |
| Stock of domestic credit: | $34.1 billion (31 December 2014 est.) |
| Stock of domestic credit: | $28.01 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $5.911 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.779 billion (31 December 2011) |
| Market value of publicly traded shares: | $5.263 billion (31 December 2010 est.) |
| Current account balance: | -$840 million (2014 est.) |
| Current account balance: | -$1.29 billion (2013 est.) |
| Exports: | $27.33 billion (2014 est.) |
| Exports: | $25.69 billion (2013 est.) |
| Exports - commodities: | petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish |
| Exports - partners: | US 44.6%, Chile 9.9%, Peru 7.5% (2013) |
| Imports: | $26.4 billion (2014 est.) |
| Imports: | $26.33 billion (2013 est.) |
| Imports - commodities: | industrial materials, fuels and lubricants, nondurable consumer goods |
| Imports - partners: | US 29.2%, China 12.9%, Colombia 8.5%, Panama 6.8%, Peru 4.1% (2013) |
| Reserves of foreign exchange and gold: | $6.811 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $4.352 billion (31 December 2013 est.) |
| Debt - external: | $21.74 billion (31 December 2014 est.) |
| Debt - external: | $19.23 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $14.28 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $13.68 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2011 est.) |
| Exchange rates: | the US dollar became Ecuador's currency in 2001 |
