| Economy | ECUADOR |
| Public debt: | 30.7% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2016 est.) |
| Inflation rate (consumer prices): | 4% (2015 est.) |
| Central bank discount rate: | 8.17% (31 December 2011) |
| Central bank discount rate: | 8.68% (31 December 2010) |
| Commercial bank prime lending rate: | 8.69% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.33% (31 December 2015 est.) |
| Stock of narrow money: | $9.281 billion (31 December 2016 est.) |
| Stock of narrow money: | $7.201 billion (31 December 2015 est.) |
| Stock of broad money: | $32.84 billion (31 December 2016 est.) |
| Stock of broad money: | $27.81 billion (31 December 2015 est.) |
| Stock of domestic credit: | $35.56 billion (31 December 2016 est.) |
| Stock of domestic credit: | $31.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $5.911 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.779 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $5.263 billion (31 December 2010 est.) |
| Current account balance: | $1.414 billion (2016 est.) |
| Current account balance: | $-2.114 billion (2015 est.) |
| Exports: | $17.43 billion (2016 est.) |
| Exports: | $19.05 billion (2015 est.) |
| Exports - commodities: | petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish |
| Exports - partners: | US 32.3%, Chile 6.8%, Vietnam 6.6%, Peru 5.6%, Colombia 4.8%, Russia 4.6% (2016) |
| Imports: | $15.86 billion (2016 est.) |
| Imports: | $20.7 billion (2015 est.) |
| Imports - commodities: | industrial materials, fuels and lubricants, nondurable consumer goods |
| Imports - partners: | US 23%, China 19%, Colombia 8%, Brazil 4.2% (2016) |
| Reserves of foreign exchange and gold: | $4.178 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.295 billion (31 December 2015 est.) |
| Debt - external: | $32.32 billion (31 December 2016 est.) |
| Debt - external: | $27.27 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $16.63 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $15.63 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $6.33 billion (31 December 2012 est.) |
| Exchange rates: | the US dollar became Ecuador's currency in 2001, 1 (2016 est.), 1 (2015 est.) |
