| Economy | BURUNDI |
| Stock of broad money: | $521.6 million (31 December 2013 est.) |
| Stock of domestic credit: | $691.2 million (31 December 2014 est.) |
| Stock of domestic credit: | $617.5 million (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$544 million (2014 est.) |
| Current account balance: | -$562.9 million (2013 est.) |
| Exports: | $113.6 million (2014 est.) |
| Exports: | $91.8 million (2013 est.) |
| Exports - commodities: | coffee, tea, sugar, cotton, hides |
| Exports - partners: | Pakistan 12.7%, Democratic Republic of the Congo 12.6%, Uganda 9.6%, Germany 6.5%, Belgium 5.9%, France 5.6%, Rwanda 5.4%, Sweden 5.1%, US 4.6%, China 4.3%, Sudan 4.2% (2014) |
| Imports: | $873 million (2014 est.) |
| Imports: | $884.3 million (2013 est.) |
| Imports - commodities: | capital goods, petroleum products, foodstuffs |
| Imports - partners: | Saudi Arabia 12.9%, Kenya 11%, Belgium 10.4%, China 8.4%, Tanzania 7.9%, Uganda 6.9%, India 5% (2014) |
| Reserves of foreign exchange and gold: | $321.4 million (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $329.4 million (31 December 2013 est.) |
| Debt - external: | $742.1 million (31 December 2014 est.) |
| Debt - external: | $705.8 million (31 December 2013 est.) |
| Exchange rates: | Burundi francs (BIF) per US dollar - |
| Exchange rates: | 1,548.5 (2014 est.) |
| Exchange rates: | 1,555.09 (2013 est.) |
| Exchange rates: | 1,442.51 (2012 est.) |
| Exchange rates: | 1,261.07 (2011 est.) |
| Exchange rates: | 1,230.8 (2010 est.) |
