| Economy | Pakistan |
| Inflation rate (consumer prices): | 5.2% (2018 est.) |
| Inflation rate (consumer prices): | 4.2% (2017 est.) |
| Credit ratings: | Fitch rating: B- (2018) |
| Credit ratings: | Moody's rating: B3 (2015) |
| Credit ratings: | Standard & Poors rating: B- (2019) |
| GDP (purchasing power parity) - real: | $1,197,079,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $1.061 trillion (2017 est.) |
| GDP (purchasing power parity) - real: | $1,182,544,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (purchasing power parity) - real: | data are for fiscal years |
| GDP (official exchange rate): | $253.183 billion (2019 est.) |
| GDP - per capita (PPP): | $1,404 (2019 est.) |
| GDP - per capita (PPP): | $1,426 (2018 est.) |
| GDP - per capita (PPP): | $1,441 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 12% of GDP (2017 est.) |
| Gross national saving: | 13.9% of GDP (2016 est.) |
| Gross national saving: | 14.7% of GDP (2015 est.) |
| Gross national saving: | note: data are for fiscal years |
| GDP - composition, by sector of origin: | agriculture: 24.4% (2016 est.) |
| GDP - composition, by sector of origin: | industry: 19.1% (2016 est.) |
| GDP - composition, by sector of origin: | services: 56.5% (2017 est.) |
| GDP - composition, by end use: | household consumption: 82% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 14.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.6% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 8.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -17.6% (2017 est.) |
| Ease of Doing Business Index scores: | 89.3 (2020) |
| Agriculture - products: | cotton, wheat, rice, sugarcane, fruits, vegetables; milk, beef, mutton, eggs |
| Industries: | textiles and apparel, food processing, pharmaceuticals, surgical instruments, construction materials, paper products, fertilizer, shrimp |
| Industrial production growth rate: | 5.4% (2017 est.) |
| Labor force: | 61.71 million (2017 est.) |
| Labor force: | note: extensive export of labor, mostly to the Middle East, and use of child labor |
| Labor force - by occupation: | agriculture: 42.3% |
| Labor force - by occupation: | industry: 22.6% |
| Labor force - by occupation: | services: 35.1% (FY2015 est.) |
| Unemployment rate: | 6% (2017 est.) |
| Unemployment rate: | 6% (2016 est.) |
| Unemployment rate: | note: Pakistan has substantial underemployment |
| Population below poverty line: | 29.5% (FY2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 26.1% (FY2013) |
| Budget: | revenues: 46.81 billion (2017 est.) |
| Budget: | expenditures: 64.49 billion (2017 est.) |
| Budget: | note: data are for fiscal years |
| Taxes and other revenues: | 15.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.8% (of GDP) (2017 est.) |
| Public debt: | 67% of GDP (2017 est.) |
| Public debt: | 67.6% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Current account balance: | -$7.143 billion (2019 est.) |
| Current account balance: | -$19.482 billion (2018 est.) |
| Exports: | $31.517 billion (2019 est.) |
| Exports: | $27.604 billion (2018 est.) |
| Exports: | $25.613 billion (2017 est.) |
| Exports - partners: | US 17.7%, UK 7.7%, China 6%, Germany 5.8%, Afghanistan 5.2%, UAE 4.5%, Spain 4.1% (2017) |
| Exports - commodities: | textiles (garments, bed linen, cotton cloth, yarn), rice, leather goods, sporting goods, chemicals, manufactures, surgical instruments, carpets and rugs |
| Imports: | $42.27 billion (2019 est.) |
| Imports: | $51.602 billion (2018 est.) |
| Imports: | $47.165 billion (2017 est.) |
| Imports - commodities: | petroleum, petroleum products, machinery, plastics, transportation equipment, edible oils, paper and paperboard, iron and steel, tea |
| Imports - partners: | China 27.4%, UAE 13.7%, US 4.9%, Indonesia 4.3%, Saudi Arabia 4.2% (2017) |
| Reserves of foreign exchange and gold: | $18.46 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $22.05 billion (31 December 2016 est.) |
| Debt - external: | $82.19 billion (31 December 2017 est.) |
| Debt - external: | $70.45 billion (31 December 2016 est.) |
| Exchange rates: | Pakistani rupees (PKR) per US dollar - |
| Exchange rates: | 160.425 (2020 est.) |
| Exchange rates: | 155.04 (2019 est.) |
| Exchange rates: | 138.8 (2018 est.) |
| Exchange rates: | 102.769 (2014 est.) |
| Exchange rates: | 101.1 (2013 est.) |
