| Economy | Pakistan |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 25.3% |
| GDP - composition, by sector of origin: | industry: 21.6% |
| GDP - composition, by sector of origin: | services: 53.1% (2013 est.) |
| Agriculture - products: | cotton, wheat, rice, sugarcane, fruits, vegetables; milk, beef, mutton, eggs |
| Industries: | textiles and apparel, food processing, pharmaceuticals, construction materials, paper products, fertilizer, shrimp |
| Industrial production growth rate: | 3.5% (2013 est.) |
| Labor force: | 59.21 million |
| Labor force: | note: extensive export of labor, mostly to the Middle East, and use of child labor (2012 est.) |
| Labor force - by occupation: | agriculture: 45.1% |
| Labor force - by occupation: | industry: 20.7% |
| Labor force - by occupation: | services: 34.2% (2010 est.) |
| Unemployment rate: | 6.6% (2013 est.) |
| Unemployment rate: | 6% (2012 est.) |
| Unemployment rate: | note: substantial underemployment exists |
| Population below poverty line: | 22.3% (FY05/06 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.9% |
| Household income or consumption by percentage share: | highest 10%: 39.3% (FY05/06) |
| Distribution of family income - Gini index: | 30.6 (FY07/08) |
| Distribution of family income - Gini index: | 41 (FY98/99) |
| Budget: | revenues: $29.71 billion |
| Budget: | expenditures: $47.97 billion (2013 est.) |
| Taxes and other revenues: | 12.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -7.7% of GDP (2013 est.) |
| Public debt: | 54.6% of GDP (2013 est.) |
| Public debt: | 52.1% of GDP (2012 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 7.7% (2013 est.) |
| Inflation rate (consumer prices): | 9.7% (2012 est.) |
| Central bank discount rate: | 12% (31 January 2012 est.) |
| Central bank discount rate: | 14% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 11.5% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 12.41% (31 December 2012 est.) |
| Stock of narrow money: | $71.96 billion (31 December 2013 est.) |
| Stock of narrow money: | $62.29 billion (31 December 2012 est.) |
| Stock of broad money: | $93.11 billion (31 December 2013 est.) |
| Stock of broad money: | $82.63 billion (31 December 2012 est.) |
| Stock of domestic credit: | $106.8 billion (31 December 2013 est.) |
| Stock of domestic credit: | $94.65 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA (31 December 2011) |
| Market value of publicly traded shares: | $38.17 billion (31 December 2010 est.) |
| Current account balance: | -$2.36 billion (2013 est.) |
| Current account balance: | -$2.072 billion (2012 est.) |
| Exports: | $25.05 billion (2013 est.) |
| Exports: | $24.71 billion (2012 est.) |
| Exports - commodities: | textiles (garments, bed linen, cotton cloth, yarn), rice, leather goods, sports goods, chemicals, manufactures, carpets and rugs |
| Exports - partners: | US 13.6%, China 11.1%, UAE 8.5%, Afghanistan 7.8% (2012) |
| Imports: | $39.27 billion (2013 est.) |
| Imports: | $40.07 billion (2012 est.) |
| Imports - commodities: | petroleum, petroleum products, machinery, plastics, transportation equipment, edible oils, paper and paperboard, iron and steel, tea |
| Imports - partners: | China 19.7%, Saudi Arabia 12.3%, UAE 12.1%, Kuwait 6.3% (2012) |
| Reserves of foreign exchange and gold: | $11.18 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $13.8 billion (31 December 2012 est.) |
| Debt - external: | $52.43 billion (31 December 2013 est.) |
| Debt - external: | $54.5 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $24.33 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $22.73 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.569 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.519 billion (31 December 2012 est.) |
| Exchange rates: | Pakistani rupees (PKR) per US dollar - |
| Exchange rates: | 100.4 (2013 est.) |
| Exchange rates: | 93.3952 (2012 est.) |
| Exchange rates: | 85.194 (2010 est.) |
| Exchange rates: | 81.71 (2009) |
| Exchange rates: | 70.64 (2008) |
