| Economy | INDONESIA |
| Public debt: | 29.4% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.5% (2016 est.) |
| Inflation rate (consumer prices): | 6.4% (2015 est.) |
| Central bank discount rate: | 6.37% (31 December 2010) |
| Central bank discount rate: | 6.46% (31 December 2009) |
| Central bank discount rate: | note: this figure represents the 3-month SBI rate; the Bank of Indonesia has not employed the one-month SBI since September 2010 |
| Commercial bank prime lending rate: | 11.89% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 12.66% (31 December 2015 est.) |
| Commercial bank prime lending rate: | note: these figures represent the average annualized rate on working capital loans |
| Stock of narrow money: | $92.11 billion (31 December 2016 est.) |
| Stock of narrow money: | $76.51 billion (31 December 2015 est.) |
| Stock of broad money: | $372.5 billion (31 December 2016 est.) |
| Stock of broad money: | $329.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $397.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $354.4 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $428.2 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $353.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $422.1 billion (31 December 2014 est.) |
| Current account balance: | $-16.77 billion (2016 est.) |
| Current account balance: | $-17.52 billion (2015 est.) |
| Exports: | $144.4 billion (2016 est.) |
| Exports: | $149.1 billion (2015 est.) |
| Exports - commodities: | mineral fuels, animal or vegetable fats (includes palm oil), electrical machinery, rubber, machinery and mechanical appliance parts |
| Exports - partners: | China 11.6%, US 11.2%, Japan 11.1%, Singapore 7.8%, India 7%, Malaysia 4.9%, South Korea 4.8% (2016) |
| Imports: | $129 billion (2016 est.) |
| Imports: | $135.1 billion (2015 est.) |
| Imports - commodities: | mineral fuels, boilers, machinery, and mechanical parts, electric machinery, iron and steel, foodstuffs |
| Imports - partners: | China 22.9%, Singapore 10.8%, Japan 9.6%, Thailand 6.4%, US 5.4%, Malaysia 5.4%, South Korea 5% (2016) |
| Reserves of foreign exchange and gold: | $116.4 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $105.9 billion (31 December 2015 est.) |
| Debt - external: | $316.5 billion (31 December 2016 est.) |
| Debt - external: | $308.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $229.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $224.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $18.42 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $30.17 billion (31 December 2015 est.) |
| Exchange rates: | Indonesian rupiah (IDR) per US dollar - |
| Exchange rates: | 13,483 (2016 est.) |
| Exchange rates: | 13,389.4 (2015 est.) |
| Exchange rates: | 13,389.4 (2014 est.) |
| Exchange rates: | 11,865.2 (2013 est.) |
| Exchange rates: | 9,386.63 (2012 est.) |
