| Economy | Indonesia |
| Central bank discount rate: | note: this figure represents the 3-month SBI rate; the Bank of Indonesia has not employed the one-month SBI since September 2010 |
| Commercial bank prime lending rate: | 11.8% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 12.4% (31 December 2011 est.) |
| Commercial bank prime lending rate: | note: these figures represent the average annualized rate on working capital loans |
| Stock of narrow money: | $87.04 billion (31 December 2012 est.) |
| Stock of narrow money: | $79.73 billion (31 December 2011 est.) |
| Stock of broad money: | $355.4 billion (31 December 2012 est.) |
| Stock of broad money: | $317.3 billion (31 December 2011 est.) |
| Stock of domestic credit: | $350 billion (31 December 2012 est.) |
| Stock of domestic credit: | $307.1 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $426.8 billion (31 December 2012) |
| Market value of publicly traded shares: | $390.1 billion (31 December 2011) |
| Market value of publicly traded shares: | $360.4 billion (31 December 2010) |
| Current account balance: | $-24.07 billion (2012 est.) |
| Current account balance: | $1.685 billion (2011 est.) |
| Exports: | $187.3 billion (2012 est.) |
| Exports: | $191.1 billion (2011 est.) |
| Exports - commodities: | oil and gas, electrical appliances, plywood, textiles, rubber |
| Exports - partners: | Japan 15.9%, China 11.4%, Singapore 9%, South Korea 7.9%, US 7.8%, India 6.6%, Malaysia 5.9% (2012) |
| Imports: | $178.7 billion (2012 est.) |
| Imports: | $157.3 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, chemicals, fuels, foodstuffs |
| Imports - partners: | China 15.3%, Singapore 13.6%, Japan 11.9%, Malaysia 6.4%, South Korea 6.2%, US 6.1%, Thailand 6% (2012) |
| Reserves of foreign exchange and gold: | $112.8 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $110.1 billion (31 December 2011 est.) |
| Debt - external: | $224.1 billion (31 December 2012 est.) |
| Debt - external: | $213.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $192.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $173.1 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $14.81 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $9.502 billion (31 December 2011 est.) |
| Exchange rates: | Indonesian rupiah (IDR) per US dollar - |
| Exchange rates: | 9,386.6 (2012 est.) |
| Exchange rates: | 8,770.43 (2011 est.) |
| Exchange rates: | 9,090.4 (2010 est.) |
| Exchange rates: | 10,389.9 (2009) |
| Exchange rates: | 9,698.9 (2008) |
