| Economy | INDONESIA |
| GDP - composition, by sector of origin: | industry: 41.3% |
| GDP - composition, by sector of origin: | services: 44.7% (2015 est.) |
| Agriculture - products: | rubber and similar products, palm oil, poultry, beef, forest products, shrimp, cocoa, coffee, medicinal herbs, essential oil, fish and its similar products, and spices |
| Industries: | petroleum and natural gas, textiles, automotive, electrical appliances, apparel, footwear, mining, cement, medical instruments and appliances, handicrafts, chemical fertilizers, plywood, rubber, processed food, jewelry, and tourism |
| Industrial production growth rate: | 2.7% (2015 est.) |
| Labor force: | 122.4 million (2015 est.) |
| Labor force - by occupation: | agriculture: 38.9% |
| Labor force - by occupation: | industry: 13.2% |
| Labor force - by occupation: | services: 47.9% (2012 est.) |
| Unemployment rate: | 6.2% (2015 est.) |
| Unemployment rate: | 5.9% (2014 est.) |
| Population below poverty line: | 11.3% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.2% (2010) |
| Distribution of family income - Gini index: | 36.8 (2009) |
| Distribution of family income - Gini index: | 39.4 (2005) |
| Budget: | revenues: $112.6 billion |
| Budget: | expenditures: $134.2 billion (2015 est.) |
| Taxes and other revenues: | 13.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.5% of GDP (2015 est.) |
| Public debt: | 28.4% of GDP (2015 est.) |
| Public debt: | 25.9% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.4% (2015 est.) |
| Inflation rate (consumer prices): | 6.4% (2014 est.) |
| Central bank discount rate: | 6.37% (31 December 2010) |
| Central bank discount rate: | 6.46% (31 December 2009) |
| Central bank discount rate: | note: this figure represents the 3-month SBI rate; the Bank of Indonesia has not employed the one-month SBI since September 2010 |
| Commercial bank prime lending rate: | 12.66% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 12.61% (31 December 2014 est.) |
| Commercial bank prime lending rate: | note: these figures represent the average annualized rate on working capital loans |
| Stock of narrow money: | $76.5 billion (31 December 2015 est.) |
| Stock of narrow money: | $75.74 billion (31 December 2014 est.) |
| Stock of broad money: | $348.6 billion (31 December 2014 est.) |
| Stock of broad money: | $305.8 billion (31 December 2013 est.) |
| Stock of domestic credit: | $354.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $360.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $396.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $390.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $360.4 billion (31 December 2013 est.) |
| Current account balance: | -$17.76 billion (2015 est.) |
| Current account balance: | -$27.52 billion (2014 est.) |
| Exports: | $148.4 billion (2015 est.) |
| Exports: | $175.3 billion (2014 est.) |
| Exports - commodities: | mineral fuels, animal or vegetable fats (includes palm oil), electrical machinery, rubber, machinery and mechanical appliance parts |
| Exports - partners: | Japan 12%, US 10.8%, China 10%, Singapore 8.4%, India 7.8%, South Korea 5.1%, Malaysia 5.1% (2015) |
| Imports: | $135.1 billion (2015 est.) |
| Imports: | $168.3 billion (2014 est.) |
| Imports - commodities: | mineral fuels, boilers, machinery, and mechanical parts, electric machinery, iron and steel, foodstuffs |
| Imports - partners: | China 20.6%, Singapore 12.6%, Japan 9.3%, Malaysia 6%, South Korea 5.9%, Thailand 5.7%, US 5.3% (2015) |
| Reserves of foreign exchange and gold: | $105.9 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $111.9 billion (31 December 2014 est.) |
| Debt - external: | $316 billion (31 December 2015 est.) |
| Debt - external: | $293.4 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $271.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $253.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $33.32 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $24.05 billion (31 December 2014 est.) |
| Exchange rates: | Indonesian rupiah (IDR) per US dollar - |
| Exchange rates: | 13,389.4 (2015 est.) |
| Exchange rates: | 11,865.2 (2014 est.) |
| Exchange rates: | 11,865.2 (2013 est.) |
| Exchange rates: | 9,386.63 (2012 est.) |
| Exchange rates: | 8,770.43 (2011 est.) |
