| Economy | Cameroon |
| Household income or consumption by percentage share: | highest 10%: 35.4% (2014 est.) |
| Distribution of family income - Gini index: | 46.5 (2014 est.) |
| Distribution of family income - Gini index: | 44.6 (2001) |
| Budget: | revenues: 5.363 billion (2017 est.) |
| Budget: | expenditures: 6.556 billion (2017 est.) |
| Taxes and other revenues: | 15.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.4% (of GDP) (2017 est.) |
| Public debt: | 36.9% of GDP (2017 est.) |
| Public debt: | 32.5% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 0.6% (2017 est.) |
| Inflation rate (consumer prices): | 0.9% (2016 est.) |
| Central bank discount rate: | 4.25% (31 December 2009) |
| Commercial bank prime lending rate: | 13% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 12.5% (31 December 2016 est.) |
| Stock of narrow money: | $4.857 billion (31 December 2017 est.) |
| Stock of narrow money: | $3.86 billion (31 December 2016 est.) |
| Stock of broad money: | $4.857 billion (31 December 2017 est.) |
| Stock of broad money: | $3.86 billion (31 December 2016 est.) |
| Stock of domestic credit: | $6.154 billion (31 December 2017 est.) |
| Stock of domestic credit: | $5.714 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $230 million (31 December 2012 est.) |
| Current account balance: | -$932 million (2017 est.) |
| Current account balance: | -$1.034 billion (2016 est.) |
| Exports: | $4.732 billion (2017 est.) |
| Exports: | $4.561 billion (2016 est.) |
| Exports - partners: | Netherlands 15.6%, France 12.6%, China 11.7%, Belgium 6.8%, Italy 6.3%, Algeria 4.8%, Malaysia 4.4% (2017) |
| Exports - commodities: | crude oil and petroleum products, lumber, cocoa beans, aluminum, coffee, cotton |
| Imports: | $4.812 billion (2017 est.) |
| Imports: | $4.827 billion (2016 est.) |
| Imports - commodities: | machinery, electrical equipment, transport equipment, fuel, food |
| Imports - partners: | China 19%, France 10.3%, Thailand 7.9%, Nigeria 4.1% (2017) |
| Reserves of foreign exchange and gold: | $3.235 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.26 billion (31 December 2016 est.) |
| Debt - external: | $9.375 billion (31 December 2017 est.) |
| Debt - external: | $7.364 billion (31 December 2016 est.) |
| Exchange rates: | Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar - |
| Exchange rates: | 605.3 (2017 est.) |
| Exchange rates: | 593.01 (2016 est.) |
| Exchange rates: | 593.01 (2015 est.) |
| Exchange rates: | 591.45 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
