| Economy | Philippines |
| Commercial bank prime lending rate: | 5.68% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 6.66% (31 December 2011 est.) |
| Stock of narrow money: | $39.01 billion (31 December 2012 est.) |
| Stock of narrow money: | $34.03 billion (31 December 2011 est.) |
| Stock of broad money: | $132.5 billion (31 December 2011 est.) |
| Stock of broad money: | $126 billion (31 December 2010 est.) |
| Stock of domestic credit: | $129.4 billion (31 December 2012 est.) |
| Stock of domestic credit: | $112.6 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $266.3 billion (31 December 2012) |
| Market value of publicly traded shares: | $198.4 billion (31 December 2011) |
| Market value of publicly traded shares: | $202.2 billion (31 December 2010) |
| Current account balance: | $7.126 billion (2012 est.) |
| Current account balance: | $6.97 billion (2011 est.) |
| Exports: | $46.28 billion (2012 est.) |
| Exports: | $38.28 billion (2011 est.) |
| Exports - commodities: | semiconductors and electronic products, transport equipment, garments, copper products, petroleum products, coconut oil, fruits |
| Exports - partners: | Japan 19%, US 14.2%, China 11.8%, Singapore 9.3%, Hong Kong 9.2%, South Korea 5.5%, Thailand 4.7% (2012) |
| Imports: | $61.49 billion (2012 est.) |
| Imports: | $55.25 billion (2011 est.) |
| Imports - commodities: | electronic products, mineral fuels, machinery and transport equipment, iron and steel, textile fabrics, grains, chemicals, plastic |
| Imports - partners: | US 11.5%, China 10.8%, Japan 10.4%, South Korea 7.3%, Singapore 7.1%, Thailand 5.6%, Saudi Arabia 5.6%, Indonesia 4.4%, Malaysia 4% (2012) |
| Reserves of foreign exchange and gold: | $83.83 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $75.3 billion (31 December 2011 est.) |
| Debt - external: | $74.88 billion (31 December 2012 est.) |
| Debt - external: | $76.04 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $30.38 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $27.58 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $8.435 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $6.59 billion (31 December 2011 est.) |
| Exchange rates: | Philippine pesos (PHP) per US dollar - |
| Exchange rates: | 42.23 (2012 est.) |
| Exchange rates: | 43.31 (2011 est.) |
| Exchange rates: | 45.11 (2010 est.) |
| Exchange rates: | 47.68 (2009) |
| Exchange rates: | 44.44 (2008) |
