| Economy | PHILIPPINES |
| Industries: | electronics assembly, garments, footwear, pharmaceuticals, chemicals, wood products, food processing, petroleum refining, fishing |
| Industrial production growth rate: | 7.5% (2014 est.) |
| Labor force: | 40.05 million (2014 est.) |
| Labor force - by occupation: | agriculture: 30% |
| Labor force - by occupation: | industry: 16% |
| Labor force - by occupation: | services: 54% (2014 est.) |
| Unemployment rate: | 6.8% (2014 est.) |
| Unemployment rate: | 7.2% (2013 est.) |
| Population below poverty line: | 25.2% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.9% |
| Household income or consumption by percentage share: | highest 10%: 30.5% (2012 est.) |
| Distribution of family income - Gini index: | 46 (2012) |
| Distribution of family income - Gini index: | 46.4 (2009) |
| Budget: | revenues: $42.98 billion |
| Budget: | expenditures: $44.63 billion (2014 est.) |
| Taxes and other revenues: | 15.1% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -0.6% of GDP (2014 est.) |
| Public debt: | 45.4% of GDP (2014 est.) |
| Public debt: | 49.2% of GDP (2013 est.) |
| Public debt: | note: data cover debt issued by the national government, and excludes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by social security institutions, government-owned and controlled corporations, the Central Bank, and local government units |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.1% (2014 est.) |
| Inflation rate (consumer prices): | 3% (2013 est.) |
| Central bank discount rate: | 6.13% (31 December 2014) |
| Central bank discount rate: | 5.63% (31 December 2013) |
| Commercial bank prime lending rate: | 4.56% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 4.35% (31 December 2013 est.) |
| Stock of narrow money: | $51.86 billion (31 December 2014 est.) |
| Stock of narrow money: | $46.07 billion (31 December 2014 est.) |
| Stock of broad money: | $172.4 billion (31 December 2014 est.) |
| Stock of broad money: | $156 billion (31 December 2013 est.) |
| Stock of domestic credit: | $157.8 billion (31 December 2014 est.) |
| Stock of domestic credit: | $134.9 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $318.7 billion (31 December 2014) |
| Market value of publicly traded shares: | $268.8 billion (31 December 2013) |
| Market value of publicly traded shares: | $266.3 billion (31 December 2012) |
| Current account balance: | $12.65 billion (2014 est.) |
| Current account balance: | $11.38 billion (2013 est.) |
| Exports: | $47.76 billion (2014 est.) |
| Exports: | $44.51 billion (2013 est.) |
| Exports - commodities: | semiconductors and electronic products, transport equipment, garments, copper products, petroleum products, coconut oil, fruits |
| Exports - partners: | Japan 22.5%, US 14.1%, China 13%, Hong Kong 9.1%, Singapore 7.2%, Germany 4.3%, South Korea 4.1% (2014) |
| Imports: | $63.61 billion (2014 est.) |
| Imports: | $62.17 billion (2013 est.) |
| Imports - commodities: | electronic products, mineral fuels, machinery and transport equipment, iron and steel, textile fabrics, grains, chemicals, plastic |
| Imports - partners: | China 15%, US 8.7%, Japan 8.1%, South Korea 7.8%, Singapore 7%, Thailand 5.3%, Saudi Arabia 5%, Malaysia 4.8%, Indonesia 4.7%, Germany 4.2% (2014) |
| Reserves of foreign exchange and gold: | $79.54 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $83.19 billion (31 December 2013 est.) |
| Debt - external: | $77.67 billion (31 December 2014 est.) |
| Debt - external: | $78.49 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $57.09 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $42.28 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $35.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $13.19 billion (31 December 2013 est.) |
| Exchange rates: | Philippine pesos (PHP) per US dollar - |
| Exchange rates: | 44.395 (2014 est.) |
| Exchange rates: | 42.446 (2013 est.) |
| Exchange rates: | 42.23 (2012 est.) |
| Exchange rates: | 43.313 (2011 est.) |
| Exchange rates: | 45.11 (2010 est.) |
