| Economy | NIGERIA |
| Agriculture - products: | cocoa, peanuts, cotton, palm oil, corn, rice, sorghum, millet, cassava (manioc, tapioca), yams, rubber; cattle, sheep, goats, pigs; timber; fish |
| Industries: | crude oil, coal, tin, columbite; rubber products, wood; hides and skins, textiles, cement and other construction materials, food products, footwear, chemicals, fertilizer, printing, ceramics, steel |
| Industrial production growth rate: | 4.6% (2014 est.) |
| Labor force: | 54.97 million (2014 est.) |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 10% |
| Labor force - by occupation: | services: 20% (1999 est.) |
| Unemployment rate: | 23.9% (2011 est.) |
| Unemployment rate: | 4.9% (2011 est.) |
| Population below poverty line: | 70% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 38.2% (2010 est.) |
| Distribution of family income - Gini index: | 43.7 (2003) |
| Distribution of family income - Gini index: | 50.6 (1997) |
| Budget: | revenues: $22.77 billion |
| Budget: | expenditures: $34.62 billion (2014 est.) |
| Taxes and other revenues: | 3.8% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2% of GDP (2014 est.) |
| Public debt: | 11.7% of GDP (2014 est.) |
| Public debt: | 10.5% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.1% (2014 est.) |
| Inflation rate (consumer prices): | 8.5% (2013 est.) |
| Central bank discount rate: | 4.25% (31 December 2010) |
| Central bank discount rate: | 6% (31 December 2009) |
| Commercial bank prime lending rate: | 17% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 16.72% (31 December 2013 est.) |
| Stock of narrow money: | $45.44 billion (31 December 2014 est.) |
| Stock of narrow money: | $44.59 billion (31 December 2013 est.) |
| Stock of broad money: | $108.7 billion (31 December 2014 est.) |
| Stock of broad money: | $99.64 billion (31 December 2013 est.) |
| Stock of domestic credit: | $119.6 billion (31 December 2014 est.) |
| Stock of domestic credit: | $109.6 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $56.39 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $39.27 billion (31 December 2011) |
| Market value of publicly traded shares: | $50.88 billion (31 December 2010 est.) |
| Current account balance: | $12.67 billion (2014 est.) |
| Current account balance: | $21.85 billion (2013 est.) |
| Exports: | $93.01 billion (2014 est.) |
| Exports: | $96.74 billion (2013 est.) |
| Exports - commodities: | petroleum and petroleum products 95%, cocoa, rubber (2012 est.) |
| Exports - partners: | India 12.8%, US 11.1%, Brazil 10%, Spain 7.1%, Netherlands 7.1%, Germany 5.1%, France 4.7%, UK 4.5%, South Africa 4.2% (2013) |
| Imports: | $52.79 billion (2014 est.) |
| Imports: | $51.38 billion (2013 est.) |
| Imports - commodities: | machinery, chemicals, transport equipment, manufactured goods, food and live animals |
| Imports - partners: | China 20.8%, US 11.2%, India 4.5% (2013) |
| Reserves of foreign exchange and gold: | $37.44 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $45.66 billion (31 December 2013 est.) |
| Debt - external: | $22.01 billion (31 December 2014 est.) |
| Debt - external: | $18.63 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $81.72 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $76.75 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $10.87 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $9.113 billion (31 December 2013 est.) |
| Exchange rates: | nairas (NGN) per US dollar - |
| Exchange rates: | 157.3 (2014 est.) |
| Exchange rates: | 157.31 (2013 est.) |
| Exchange rates: | 156.81 (2012 est.) |
| Exchange rates: | 154.7 (2011 est.) |
| Exchange rates: | 150.3 (2010 est.) |
