| Economy | Nigeria |
| Labor force: | 5.5 million (2012 est.) |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 10% |
| Labor force - by occupation: | services: 20% (1999 est.) |
| Unemployment rate: | 23.9% (2011 est.) |
| Unemployment rate: | 4.9% (2011 est.) |
| Population below poverty line: | 70% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 38.2% (2010 est.) |
| Distribution of family income - Gini index: | 43.7 (2003) |
| Distribution of family income - Gini index: | 50.6 (1997) |
| Budget: | revenues: $22.35 billion |
| Budget: | expenditures: $27.87 billion (2012 est.) |
| Taxes and other revenues: | 8.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2012 est.) |
| Public debt: | 17.9% of GDP (2012 est.) |
| Public debt: | 17.1% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 12.2% (2012 est.) |
| Inflation rate (consumer prices): | 10.8% (2011 est.) |
| Central bank discount rate: | 4.25% (31 December 2010 est.) |
| Central bank discount rate: | 6% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 16.79% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 16.02% (31 December 2011 est.) |
| Stock of narrow money: | $44.41 billion (31 December 2012 est.) |
| Stock of narrow money: | $42.79 billion (31 December 2011 est.) |
| Stock of broad money: | $80.1 billion (31 December 2011 est.) |
| Stock of broad money: | $74.08 billion (31 December 2010 est.) |
| Stock of domestic credit: | $93.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $89.37 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $39.27 billion (31 December 2011) |
| Market value of publicly traded shares: | $50.88 billion (31 December 2010) |
| Market value of publicly traded shares: | $33.32 billion (31 December 2009) |
| Current account balance: | $20.35 billion (2012 est.) |
| Current account balance: | $12.55 billion (2011 est.) |
| Exports: | $95.68 billion (2012 est.) |
| Exports: | $96.37 billion (2011 est.) |
| Exports - commodities: | petroleum and petroleum products 95%, cocoa, rubber |
| Exports - partners: | US 16.8%, India 11.5%, Netherlands 8.6%, Spain 7.8%, Brazil 7.6%, UK 5.1%, Germany 4.9%, Japan 4.1%, France 4.1% (2012) |
| Imports: | $53.36 billion (2012 est.) |
| Imports: | $61.65 billion (2011 est.) |
| Imports - commodities: | machinery, chemicals, transport equipment, manufactured goods, food and live animals |
| Imports - partners: | China 18.3%, US 10.1%, India 5.5% (2012) |
| Reserves of foreign exchange and gold: | $46.41 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $35.21 billion (31 December 2011 est.) |
| Debt - external: | $13.4 billion (31 December 2012 est.) |
| Debt - external: | $13.11 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $76.75 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $69.24 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $7.444 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $5.865 billion (31 December 2011 est.) |
| Exchange rates: | nairas (NGN) per US dollar - |
| Exchange rates: | 156.81 (2012 est.) |
| Exchange rates: | 154.74 (2011 est.) |
| Exchange rates: | 150.3 (2010 est.) |
| Exchange rates: | 148.9 (2009) |
| Exchange rates: | 117.8 (2008) |
