| Economy | Iran |
| Industries: | petroleum, petrochemicals, gas, fertilizer, caustic soda, textiles, cement and other construction materials, food processing (particularly sugar refining and vegetable oil production), ferrous and nonferrous metal fabrication, armaments |
| Industrial production growth rate: | 3% (2017 est.) |
| Labor force: | 30.5 million (2017 est.) |
| Labor force: | note: shortage of skilled labor |
| Labor force - by occupation: | agriculture: 16.3% |
| Labor force - by occupation: | industry: 35.1% |
| Labor force - by occupation: | services: 48.6% (2013 est.) |
| Unemployment rate: | 11.8% (2017 est.) |
| Unemployment rate: | 12.4% (2016 est.) |
| Unemployment rate: | note: data are Iranian Government numbers |
| Population below poverty line: | 18.7% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 29.6% (2005) |
| Budget: | revenues: 74.4 billion (2017 est.) |
| Budget: | expenditures: 84.45 billion (2017 est.) |
| Taxes and other revenues: | 17.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.3% (of GDP) (2017 est.) |
| Public debt: | 39.5% of GDP (2017 est.) |
| Public debt: | 47.5% of GDP (2016 est.) |
| Public debt: | note: includes publicly guaranteed debt |
| Fiscal year: | 21 March - 20 March |
| Current account balance: | $9.491 billion (2017 est.) |
| Current account balance: | $16.28 billion (2016 est.) |
| Exports: | $101.4 billion (2017 est.) |
| Exports: | $83.98 billion (2016 est.) |
| Exports - partners: | China 27.5%, India 15.1%, South Korea 11.4%, Turkey 11.1%, Italy 5.7%, Japan 5.3% (2017) |
| Exports - commodities: | petroleum 60%, chemical and petrochemical products, fruits and nuts, carpets, cement, ore |
| Imports: | $76.39 billion (2017 est.) |
| Imports: | $63.14 billion (2016 est.) |
| Imports - commodities: | industrial supplies, capital goods, foodstuffs and other consumer goods, technical services |
| Imports - partners: | UAE 29.8%, China 12.7%, Turkey 4.4%, South Korea 4%, Germany 4% (2017) |
| Reserves of foreign exchange and gold: | $120.6 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $133.7 billion (31 December 2016 est.) |
| Debt - external: | $7.995 billion (31 December 2017 est.) |
| Debt - external: | $8.196 billion (31 December 2016 est.) |
| Exchange rates: | Iranian rials (IRR) per US dollar - |
| Exchange rates: | 32,769.7 (2017 est.) |
| Exchange rates: | 30,914.9 (2016 est.) |
| Exchange rates: | 30,914.9 (2015 est.) |
| Exchange rates: | 29,011.5 (2014 est.) |
| Exchange rates: | 25,912 (2013 est.) |
