| Economy | Uruguay |
| GDP - composition, by sector of origin: | agriculture: 6.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 24.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 69.7% (2017 est.) |
| Agriculture - products: | Cellulose, beef, soybeans, rice, wheat; dairy products; fish; lumber, tobacco, wine |
| Industries: | food processing, electrical machinery, transportation equipment, petroleum products, textiles, chemicals, beverages |
| Industrial production growth rate: | -3.6% (2017 est.) |
| Labor force: | 1.748 million (2017 est.) |
| Labor force - by occupation: | agriculture: 13% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 73% (2010 est.) |
| Unemployment rate: | 7.6% (2017 est.) |
| Unemployment rate: | 7.9% (2016 est.) |
| Population below poverty line: | 9.7% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 30.8% (2014 est.) |
| Distribution of family income - Gini index: | 41.6 (2014) |
| Distribution of family income - Gini index: | 41.9 (2013) |
| Budget: | revenues: 17.66 billion (2017 est.) |
| Budget: | expenditures: 19.72 billion (2017 est.) |
| Taxes and other revenues: | 29.8% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.5% (of GDP) (2017 est.) |
| Public debt: | 65.7% of GDP (2017 est.) |
| Public debt: | 61.6% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.2% (2017 est.) |
| Inflation rate (consumer prices): | 9.6% (2016 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 8.75% (31 December 2011) |
| Central bank discount rate: | note: Uruguay's central bank uses the benchmark interest rate, rather than the discount rate, to conduct monetary policy; the rates shown here are the benchmark rates |
| Commercial bank prime lending rate: | 13.83% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 16.17% (31 December 2016 est.) |
| Stock of narrow money: | $5.068 billion (31 December 2017 est.) |
| Stock of narrow money: | $4.516 billion (31 December 2016 est.) |
| Stock of broad money: | $5.068 billion (31 December 2017 est.) |
| Stock of broad money: | $4.516 billion (31 December 2016 est.) |
| Stock of domestic credit: | $20.84 billion (31 December 2017 est.) |
| Stock of domestic credit: | $19.03 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $175.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $174.6 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $156.9 million (31 December 2010 est.) |
| Current account balance: | $879 million (2017 est.) |
| Current account balance: | $410 million (2016 est.) |
| Exports: | $11.41 billion (2017 est.) |
| Exports: | $8.387 billion (2016 est.) |
| Exports - partners: | China 19%, Brazil 16.1%, US 5.7%, Argentina 5.4% (2017) |
| Exports - commodities: | beef, soybeans, cellulose, rice, wheat, wood, dairy products, wool |
| Imports: | $8.607 billion (2017 est.) |
| Imports: | $8.463 billion (2016 est.) |
| Imports - commodities: | refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones |
| Imports - partners: | China 20%, Brazil 19.5%, Argentina 12.6%, US 10.9% (2017) |
| Reserves of foreign exchange and gold: | $15.96 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $13.47 billion (31 December 2016 est.) |
| Debt - external: | $28.37 billion (31 December 2017 est.) |
| Debt - external: | $27.9 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $44.84 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $22.81 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $19.97 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $136.1 million (31 December 2016 est.) |
| Exchange rates: | Uruguayan pesos (UYU) per US dollar - |
| Exchange rates: | 28.77 (2017 est.) |
| Exchange rates: | 30.16 (2016 est.) |
| Exchange rates: | 30.16 (2015 est.) |
| Exchange rates: | 27.52 (2014 est.) |
| Exchange rates: | 23.25 (2013 est.) |
