| Economy | Peru |
| Gross national saving: | 22.2% of GDP (2013 est.) |
| Gross national saving: | 23.3% of GDP (2012 est.) |
| Gross national saving: | 23.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 62.4% |
| GDP - composition, by end use: | government consumption: 10.8% |
| GDP - composition, by end use: | investment in fixed capital: 27% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 24.4% |
| GDP - composition, by end use: | imports of goods and services: -24.7% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.2% |
| GDP - composition, by sector of origin: | industry: 37.5% |
| GDP - composition, by sector of origin: | services: 56.3% (2013 est.) |
| Agriculture - products: | asparagus, coffee, cocoa, cotton, sugarcane, rice, potatoes, corn, plantains, grapes, oranges, pineapples, guavas, bananas, apples, lemons, pears, coca, tomatoes, mangoes, barley, medicinal plants, palm oil, marigold, onion, wheat, dry beans; poultry, beef, pork, dairy products; guinea pigs; fish |
| Industries: | mining and refining of minerals; steel, metal fabrication; petroleum extraction and refining, natural gas and natural gas liquefaction; fishing and fish processing, cement, glass, textiles, clothing, food processing, beer, soft drinks, rubber, machinery, electrical machinery, chemicals, furniture |
| Industrial production growth rate: | 5% (2013 est.) |
| Labor force: | 16.16 million |
| Labor force: | note: individuals older than 14 years of age (2012 est.) |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 17.4% |
| Labor force - by occupation: | services: 56.8% (2011) |
| Unemployment rate: | 3.6% (2012 est.) |
| Unemployment rate: | 3.9% (2011 est.) |
| Unemployment rate: | note: data are for metropolitan Lima; widespread underemployment |
| Population below poverty line: | 25.8% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2010 est.) |
| Distribution of family income - Gini index: | 48.1 (2010) |
| Distribution of family income - Gini index: | 51 (2005) |
| Budget: | revenues: $60.95 billion |
| Budget: | expenditures: $58.91 billion (2013 est.) |
| Taxes and other revenues: | 29% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 1% of GDP (2013 est.) |
| Public debt: | 14.9% of GDP (2013 est.) |
| Public debt: | 16.6% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.9% (2013 est.) |
| Inflation rate (consumer prices): | 3.4% (2011 est.) |
| Inflation rate (consumer prices): | note: data are for metropolitan Lima, annual average |
| Central bank discount rate: | 5.05% (31 December 2012) |
| Central bank discount rate: | 5.05% (31 December 2011) |
| Commercial bank prime lending rate: | 20.3% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 19.23% (31 December 2012 est.) |
| Commercial bank prime lending rate: | note: domestic currency lending rate, 90 day maturity |
| Stock of narrow money: | $32.2 billion (31 December 2013 est.) |
| Stock of narrow money: | $32.61 billion (31 December 2012 est.) |
| Stock of broad money: | $80.91 billion (31 December 2013 est.) |
| Stock of broad money: | $77.62 billion (31 December 2012 est.) |
| Stock of domestic credit: | $37.96 billion (31 December 2013 est.) |
| Stock of domestic credit: | $36.76 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA (31 December 2012) |
| Market value of publicly traded shares: | $121.6 billion (31 December 2011) |
| Market value of publicly traded shares: | $160.9 billion (31 December 2010) |
| Current account balance: | -$10.31 billion (2013 est.) |
| Current account balance: | -$7.137 billion (2012 est.) |
| Exports: | $41.48 billion (2013 est.) |
| Exports: | $45.64 billion (2012 est.) |
| Exports - commodities: | copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys |
| Exports - partners: | China 19.9%, US 15.7%, Canada 9.5%, Japan 6.6%, Spain 5.2%, Chile 4.9% (2012) |
| Imports: | $42.13 billion (2013 est.) |
| Imports: | $41.11 billion (2012 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, plastics, machinery, vehicles, color TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines |
| Imports - partners: | US 24.6%, China 14%, Brazil 6.4%, Argentina 5%, Chile 4.8%, Colombia 4.2%, Ecuador 4.1%, Mexico 4% (2012) |
| Reserves of foreign exchange and gold: | $65.15 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $64.17 billion (31 December 2012 est.) |
| Debt - external: | $50.15 billion (31 December 2013 est.) |
| Debt - external: | $50.47 billion (31 December 2012 est.) |
| Debt - external: | note: public debt component of total: $20.6 billion (31 December 2009) |
| Stock of direct foreign investment - at home: | $76.57 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $63.51 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $3.165 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $3.041 billion (31 December 2012 est.) |
| Exchange rates: | nuevo sol (PEN) per US dollar - |
| Exchange rates: | 2.699 (2013 est.) |
| Exchange rates: | 2.6376 (2012 est.) |
| Exchange rates: | 2.8251 (2010 est.) |
| Exchange rates: | 3.0115 (2009) |
| Exchange rates: | 2.91 (2008) |
