| Economy | Lithuania |
| Imports - partners: | Russia 13%, Germany 12.3%, Poland 10.6%, Latvia 7.1%, Italy 5.2%, Netherlands 5.1%, Sweden 4% (2017) |
| Reserves of foreign exchange and gold: | $4.45 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $1.697 billion (31 December 2015 est.) |
| Debt - external: | $34.48 billion (31 March 2016 est.) |
| Debt - external: | $31.6 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $20.43 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $15.87 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $6.268 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $4.48 billion (31 December 2016 est.) |
| Exchange rates: | litai (LTL) per US dollar - |
| Exchange rates: | 0.884 (2017 est.) |
| Exchange rates: | 0.9037 (2016 est.) |
| Exchange rates: | 0.9037 (2015 est.) |
| Exchange rates: | 0.9012 (2014 est.) |
| Exchange rates: | 0.7525 (2013 est.) |
