| Economy | Lithuania |
| Ease of Doing Business Index scores: | 93.3 (2020) |
| Agriculture - products: | grain, potatoes, sugar beets, flax, vegetables; beef, milk, eggs, pork, cheese; fish |
| Industries: | metal-cutting machine tools, electric motors, televisions, refrigerators and freezers, petroleum refining, shipbuilding (small ships), furniture, textiles, food processing, fertilizer, agricultural machinery, optical equipment, lasers, electronic components, computers, amber jewelry, information technology, video game development, app/software development, biotechnology |
| Industrial production growth rate: | 5.9% (2017 est.) |
| Labor force: | 1.333 million (2020 est.) |
| Labor force - by occupation: | agriculture: 9.1% |
| Labor force - by occupation: | industry: 25.2% |
| Labor force - by occupation: | services: 65.8% (2015 est.) |
| Unemployment rate: | 8.4% (2019 est.) |
| Unemployment rate: | 8.5% (2018 est.) |
| Population below poverty line: | 22.2% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 28.8% (2015) |
| Budget: | revenues: 15.92 billion (2017 est.) |
| Budget: | expenditures: 15.7 billion (2017 est.) |
| Taxes and other revenues: | 33.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.5% (of GDP) (2017 est.) |
| Public debt: | 39.7% of GDP (2017 est.) |
| Public debt: | 40.1% of GDP (2016 est.) |
| Public debt: | note: official data; data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | $1.817 billion (2019 est.) |
| Current account balance: | $131 million (2018 est.) |
| Exports: | $45.358 billion (2019 est.) |
| Exports: | $41.433 billion (2018 est.) |
| Exports: | $38.763 billion (2017 est.) |
| Exports - partners: | Russia 15%, Latvia 9.9%, Poland 8.1%, Germany 7.3%, US 5.2%, Estonia 5%, Sweden 4.8% (2017) |
| Exports - commodities: | refined fuel, machinery and equipment, chemicals, textiles, foodstuffs, plastics |
| Imports: | $43.733 billion (2019 est.) |
| Imports: | $41.131 billion (2018 est.) |
| Imports: | $38.745 billion (2017 est.) |
| Imports - commodities: | oil, natural gas, machinery and equipment, transport equipment, chemicals, textiles and clothing, metals |
| Imports - partners: | Russia 13%, Germany 12.3%, Poland 10.6%, Latvia 7.1%, Italy 5.2%, Netherlands 5.1%, Sweden 4% (2017) |
| Reserves of foreign exchange and gold: | $4.45 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $1.697 billion (31 December 2015 est.) |
| Debt - external: | $34.48 billion (31 March 2016 est.) |
| Debt - external: | $31.6 billion (31 March 2015 est.) |
| Exchange rates: | litai (LTL) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.9012 (2014 est.) |
| Exchange rates: | 0.7525 (2013 est.) |
