| Economy | RWANDA |
| Budget: | expenditures: $2.387 billion (2015 est.) |
| Taxes and other revenues: | 23.8% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.1% of GDP (2015 est.) |
| Public debt: | 33.9% of GDP (2015 est.) |
| Public debt: | 30.7% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.5% (2015 est.) |
| Inflation rate (consumer prices): | 1.8% (2014 est.) |
| Central bank discount rate: | 7.75% (31 December 2010) |
| Central bank discount rate: | 11.25% (31 December 2008) |
| Commercial bank prime lending rate: | 17.33% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 17.26% (31 December 2014 est.) |
| Stock of narrow money: | $1.013 billion (31 December 2015 est.) |
| Stock of narrow money: | $820.9 million (31 December 2014 est.) |
| Stock of broad money: | $1.576 billion (31 December 2015 est.) |
| Stock of broad money: | $1.407 billion (31 December 2014 est.) |
| Stock of domestic credit: | $1.337 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.261 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$1.139 billion (2015 est.) |
| Current account balance: | -$909 million (2014 est.) |
| Exports: | $683.7 million (2015 est.) |
| Exports: | $723.1 million (2014 est.) |
| Exports - commodities: | coffee, tea, hides, tin ore |
| Exports - partners: | Democratic Republic of the Congo 19.8%, US 10.8%, China 10.3%, Swaziland 7.9%, Malaysia 7%, Pakistan 6.2%, Germany 5.9%, Thailand 5.5% (2015) |
| Imports: | $1.917 billion (2015 est.) |
| Imports: | $1.99 billion (2014 est.) |
| Imports - commodities: | foodstuffs, machinery and equipment, steel, petroleum products, cement and construction material |
| Imports - partners: | Uganda 15.7%, Kenya 11.8%, India 8.7%, China 8.7%, UAE 8.6%, Russia 6.6%, Tanzania 5.1% (2015) |
| Reserves of foreign exchange and gold: | $1.03 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.066 billion (31 December 2014 est.) |
| Debt - external: | $2.178 billion (31 December 2015 est.) |
| Debt - external: | $2.022 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $1.484 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.152 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $25.6 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $16.7 million (31 December 2014 est.) |
| Exchange rates: | Rwandan francs (RWF) per US dollar - |
| Exchange rates: | 720.54 (2015 est.) |
| Exchange rates: | 680.95 (2014 est.) |
| Exchange rates: | 680.95 (2013 est.) |
| Exchange rates: | 616.6 (2012 est.) |
| Exchange rates: | 601.83 (2011 est.) |
