| Economy | Rwanda |
| Debt - external: | $1.153 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $900.1 million (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $743.3 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $12.9 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $12.9 million (31 December 2012 est.) |
| Exchange rates: | Rwandan francs (RWF) per US dollar - |
| Exchange rates: | 633.6 (2013 est.) |
| Exchange rates: | 616.6 (2012 est.) |
| Exchange rates: | 583.13 (2010 est.) |
| Exchange rates: | 568.18 (2009) |
| Exchange rates: | 550 (2008) |
