| Economy | MOLDOVA |
| Budget surplus (+) or deficit (-): | -1.8% of GDP (2016 est.) |
| Public debt: | 43.3% of GDP (2016 est.) |
| Public debt: | 44.2% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.4% (2016 est.) |
| Inflation rate (consumer prices): | 9.7% (2015 est.) |
| Central bank discount rate: | 9% (31 December 2016) |
| Central bank discount rate: | 19.5% (31 December 2015) |
| Central bank discount rate: | note: this is the basic rate on short-term operations |
| Commercial bank prime lending rate: | 14.28% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 14.15% (31 December 2015 est.) |
| Stock of narrow money: | $1.406 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.199 billion (31 December 2015 est.) |
| Stock of broad money: | $3.529 billion (31 December 2016 est.) |
| Stock of broad money: | $3.256 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.942 billion (31 December 2016 est.) |
| Stock of domestic credit: | $2.191 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $9.723 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $50.47 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $65.29 million (31 December 2013 est.) |
| Current account balance: | $-258 million (2016 est.) |
| Current account balance: | $-414.8 million (2015 est.) |
| Exports: | $1.547 billion (2016 est.) |
| Exports: | $1.507 billion (2015 est.) |
| Exports - commodities: | foodstuffs, textiles, machinery |
| Exports - partners: | Romania 25.5%, Russia 11.6%, Italy 9.9%, Germany 6.3%, UK 5.7%, Belarus 5.2% (2016) |
| Imports: | $3.604 billion (2016 est.) |
| Imports: | $3.595 billion (2015 est.) |
| Imports - commodities: | mineral products and fuel, machinery and equipment, chemicals, textiles |
| Imports - partners: | Romania 13.7%, Russia 13.3%, China 9.8%, Ukraine 9.5%, Germany 7.9%, Italy 7%, Turkey 6.8% (2016) |
| Reserves of foreign exchange and gold: | $2.206 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $1.757 billion (31 December 2015 est.) |
| Debt - external: | $6.138 billion (31 December 2016 est.) |
| Debt - external: | $6.338 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $3.581 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.466 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $206.1 million (31 December 2016) |
| Stock of direct foreign investment - abroad: | $197.1 million (31 December 2015) |
| Exchange rates: | Moldovan lei (MDL) per US dollar - |
| Exchange rates: | 19.924 (2016 est.) |
| Exchange rates: | 19.924 (2015 est.) |
| Exchange rates: | 19.83 (2014 est.) |
| Exchange rates: | 14.036 (2013 est.) |
| Exchange rates: | 12.11 (2012 est.) |
