| Economy | MOLDOVA |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 9.7% (2015 est.) |
| Inflation rate (consumer prices): | 5.1% (2014 est.) |
| Central bank discount rate: | 19.5% (31 December 2015) |
| Central bank discount rate: | 6.5% (31 December 2014) |
| Central bank discount rate: | note: this is the basic rate on short-term operations |
| Commercial bank prime lending rate: | 14.2% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 11.01% (31 December 2014 est.) |
| Stock of narrow money: | $1.188 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.698 billion (31 December 2014 est.) |
| Stock of broad money: | $3.402 billion (31 December 2015 est.) |
| Stock of broad money: | $4.685 billion (31 December 2014 est.) |
| Stock of domestic credit: | $2.162 billion (31 December 2015 est.) |
| Stock of domestic credit: | $2.643 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $9.723 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $50.47 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $51.46 million (31 December 2012 est.) |
| Current account balance: | -$426 million (2015 est.) |
| Current account balance: | -$294 million (2014 est.) |
| Exports: | $1.507 billion (2015 est.) |
| Exports: | $1.805 billion (2014 est.) |
| Exports - commodities: | foodstuffs, textiles, machinery |
| Exports - partners: | Romania 23.1%, Italy 10.2%, Turkey 9.4%, Russia 8%, Germany 6.6%, Belarus 6.4% (2015) |
| Imports: | $3.595 billion (2015 est.) |
| Imports: | $4.858 billion (2014 est.) |
| Imports - commodities: | mineral products and fuel, machinery and equipment, chemicals, textiles |
| Imports - partners: | Russia 22.7%, Romania 18.1%, Ukraine 11.5%, Germany 7%, Italy 4.8%, Turkey 4.4% (2015) |
| Reserves of foreign exchange and gold: | $1.757 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.157 billion (31 December 2014 est.) |
| Debt - external: | $6.207 billion (31 December 2015 est.) |
| Debt - external: | $6.464 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $3.647 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $3.615 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $108.2 million (31 December 2012) |
| Stock of direct foreign investment - abroad: | $88.42 million (31 December 2011) |
| Exchange rates: | Moldovan lei (MDL) per US dollar - |
| Exchange rates: | 19.83 (2015 est.) |
| Exchange rates: | 15.435 (2014 est.) |
| Exchange rates: | 14.036 (2013 est.) |
| Exchange rates: | 12.11 (2012 est.) |
| Exchange rates: | 11.738 (2011 est.) |
