| Economy | Benin |
| Credit ratings: | Fitch rating: B (2019) |
| Credit ratings: | Moody's rating: B2 (2019) |
| Credit ratings: | Standard & Poors rating: B+ (2018) |
| GDP (purchasing power parity) - real: | $25.39 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $30.211 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $24.04 billion (2016 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $10.315 billion (2018 est.) |
| GDP - per capita (PPP): | $1,224 (2018 est.) |
| GDP - per capita (PPP): | $2,300 (2017 est.) |
| GDP - per capita (PPP): | $1,178 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 17.3% of GDP (2017 est.) |
| Gross national saving: | 15.2% of GDP (2016 est.) |
| Gross national saving: | 16.6% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 26.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 22.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 51.1% (2017 est.) |
| GDP - composition, by end use: | household consumption: 70.5% (2017 est.) |
| GDP - composition, by end use: | government consumption: 13.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 27.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 31.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -43% (2017 est.) |
| Ease of Doing Business Index scores: | 52.4 (2020) |
| Agriculture - products: | cotton, corn, cassava (manioc, tapioca), yams, beans, palm oil, peanuts, cashews; livestock |
| Industries: | textiles, food processing, construction materials, cement |
| Industrial production growth rate: | 3% (2017 est.) |
| Labor force: | 3.662 million (2007 est.) |
| Unemployment rate: | 1% (2014 est.) |
| Population below poverty line: | 36.2% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 29% (2003) |
| Budget: | revenues: 1.578 billion (2017 est.) |
| Budget: | expenditures: 2.152 billion (2017 est.) |
| Taxes and other revenues: | 17.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -6.2% (of GDP) (2017 est.) |
| Public debt: | 54.6% of GDP (2017 est.) |
| Public debt: | 49.7% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$1.024 billion (2017 est.) |
| Current account balance: | -$808 million (2016 est.) |
| Exports: | $3.056 billion (2018 est.) |
| Exports: | $2.726 billion (2017 est.) |
| Exports - partners: | Bangladesh 18.1%, India 10.7%, Ukraine 9%, Niger 8.1%, China 7.7%, Nigeria 7.2%, Turkey 4% (2017) |
| Exports - commodities: | cotton, cashews, shea butter, textiles, palm products, seafood |
| Imports: | $5.458 billion (2019 est.) |
| Imports: | $5.279 billion (2018 est.) |
| Imports: | $5.035 billion (2017 est.) |
| Imports - commodities: | foodstuffs, capital goods, petroleum products |
| Imports - partners: | Thailand 18.1%, India 15.9%, France 8.5%, China 7.5%, Togo 5.9%, Netherlands 4.3%, Belgium 4.3% (2017) |
| Reserves of foreign exchange and gold: | $698.9 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $57.5 million (31 December 2016 est.) |
| Debt - external: | $2.804 billion (31 December 2017 est.) |
| Debt - external: | $2.476 billion (31 December 2016 est.) |
| Exchange rates: | Communaute Financiere Africaine francs (XOF) per US dollar - |
| Exchange rates: | 605.3 (2017 est.) |
| Exchange rates: | 593.01 (2016 est.) |
| Exchange rates: | 593.01 (2015 est.) |
| Exchange rates: | 591.45 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
