| Economy | Haiti |
| GDP - real growth rate: | 1.2% (2017 est.) |
| GDP - real growth rate: | 1.5% (2016 est.) |
| GDP - real growth rate: | 1.2% (2015 est.) |
| GDP - per capita (PPP): | $1,800 (2017 est.) |
| GDP - per capita (PPP): | $1,800 (2016 est.) |
| GDP - per capita (PPP): | $1,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24.9% of GDP (2017 est.) |
| Gross national saving: | 29.5% of GDP (2016 est.) |
| Gross national saving: | 29.3% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 99.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10% (2016 est.) |
| GDP - composition, by end use: | investment in fixed capital: 32.6% (2016 est.) |
| GDP - composition, by end use: | investment in inventories: -1.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 20% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -60.3% (2017 est.) |
| GDP - composition, by end use: | note: figure for household consumption also includes government consumption |
| GDP - composition, by sector of origin: | agriculture: 22.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 20.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 57.6% (2017 est.) |
| Agriculture - products: | coffee, mangoes, cocoa, sugarcane, rice, corn, sorghum; wood, vetiver |
| Industries: | textiles, sugar refining, flour milling, cement, light assembly using imported parts |
| Industrial production growth rate: | 0.9% (2017 est.) |
| Labor force: | 4.594 million (2014 est.) |
| Labor force: | note: shortage of skilled labor; unskilled labor abundant |
| Labor force - by occupation: | agriculture: 38.1% |
| Labor force - by occupation: | industry: 11.5% |
| Labor force - by occupation: | services: 50.4% (2010) |
| Unemployment rate: | 40.6% (2010 est.) |
| Unemployment rate: | note: widespread unemployment and underemployment; more than two-thirds of the labor force do not have formal jobs |
| Population below poverty line: | 58.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.7% |
| Household income or consumption by percentage share: | highest 10%: 47.7% (2001) |
| Distribution of family income - Gini index: | 60.8 (2012) |
| Distribution of family income - Gini index: | 59.2 (2001) |
| Budget: | revenues: 1.567 billion (2017 est.) |
| Budget: | expenditures: 1.65 billion (2017 est.) |
| Taxes and other revenues: | 18.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1% (of GDP) (2017 est.) |
| Public debt: | 31.1% of GDP (2017 est.) |
| Public debt: | 33.9% of GDP (2016 est.) |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 14.7% (2017 est.) |
| Inflation rate (consumer prices): | 13.4% (2016 est.) |
| Commercial bank prime lending rate: | 13.1% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 13.23% (31 December 2016 est.) |
| Stock of narrow money: | $1.273 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.049 billion (31 December 2016 est.) |
| Stock of broad money: | $1.273 billion (31 December 2017 est.) |
| Stock of broad money: | $1.049 billion (31 December 2016 est.) |
| Stock of domestic credit: | $3.112 billion (31 December 2017 est.) |
| Stock of domestic credit: | $2.253 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$348 million (2017 est.) |
| Current account balance: | -$83 million (2016 est.) |
| Exports: | $980.2 million (2017 est.) |
| Exports: | $995 million (2016 est.) |
| Exports - partners: | US 80.6%, Dominican Republic 4.9% (2017) |
| Exports - commodities: | apparel, manufactures, oils, cocoa, mangoes, coffee |
| Imports: | $3.618 billion (2017 est.) |
| Imports: | $3.183 billion (2016 est.) |
| Imports - commodities: | food, manufactured goods, machinery and transport equipment, fuels, raw materials |
| Imports - partners: | US 20.7%, China 18.8%, Netherlands Antilles 15.7%, Indonesia 8.5% (2017) |
| Reserves of foreign exchange and gold: | $2.361 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.11 billion (31 December 2016 est.) |
| Debt - external: | $2.762 billion (31 December 2017 est.) |
| Debt - external: | $2.17 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.46 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $1.37 billion (31 December 2016 est.) |
| Exchange rates: | gourdes (HTG) per US dollar - |
| Exchange rates: | 65.21 (2017 est.) |
| Exchange rates: | 63.34 (2016 est.) |
| Exchange rates: | 63.34 (2015 est.) |
| Exchange rates: | 50.71 (2014 est.) |
| Exchange rates: | 45.22 (2013 est.) |
