| Economy | HAITI |
| Commercial bank prime lending rate: | 10.8% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 8.72% (31 December 2013 est.) |
| Stock of narrow money: | $1.092 billion (31 December 2014 est.) |
| Stock of narrow money: | $1.132 billion (31 December 2013 est.) |
| Stock of broad money: | $3.509 billion (31 October 2012 est.) |
| Stock of broad money: | $3.43 billion (31 December 2011 est.) |
| Stock of domestic credit: | $2.175 billion (31 December 2014 est.) |
| Stock of domestic credit: | $1.699 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$552 million (2014 est.) |
| Current account balance: | -$535 million (2013 est.) |
| Exports: | $917.7 million (2014 est.) |
| Exports: | $883.7 million (2013 est.) |
| Exports - commodities: | apparel, manufactures, oils, cocoa, mangoes, coffee |
| Exports - partners: | US 83.2% (2014) |
| Imports: | $3.392 billion (2014 est.) |
| Imports: | $3.329 billion (2013 est.) |
| Imports - commodities: | food, manufactured goods, machinery and transport equipment, fuels, raw materials |
| Imports - partners: | Dominican Republic 29.2%, US 23.8%, Algeria 11.7%, Netherlands Antilles 7.8%, China 7.3% (2014) |
| Reserves of foreign exchange and gold: | $1.99 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $2.53 billion (31 December 2013 est.) |
| Debt - external: | $1.366 billion (31 December 2014 est.) |
| Debt - external: | $1.271 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.185 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $1.086 billion (31 December 2013 est.) |
| Exchange rates: | gourdes (HTG) per US dollar - |
| Exchange rates: | 45.216 (2014 est.) |
| Exchange rates: | 45.22 (2013 est.) |
| Exchange rates: | 41.95 (2012 est.) |
| Exchange rates: | 40.52 (2011 est.) |
| Exchange rates: | 39.8 (2010 est.) |
