| Economy | Taiwan |
| Imports - commodities: | electronics, machinery, crude petroleum, precision instruments, organic chemicals, metals |
| Imports - partners: | Japan 17.6%, China 16.1%, US 9.5% (2012 est.) |
| Reserves of foreign exchange and gold: | $408.5 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $390.6 billion (31 December 2011 est.) |
| Debt - external: | $130.8 billion (31 December 2012 est.) |
| Debt - external: | $122.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $59.36 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $56.15 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $226.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $213.1 billion (31 December 2011 est.) |
| Exchange rates: | New Taiwan dollars (TWD) per US dollar - |
| Exchange rates: | 29.62 (2012 est.) |
| Exchange rates: | 29.47 (2011 est.) |
| Exchange rates: | 31.65 (2010 est.) |
| Exchange rates: | 33.06 (2009) |
| Exchange rates: | 31.53 (2008) |
