| Economy | TAIWAN |
| GDP (official exchange rate): | $529.6 billion (2016 est.) |
| GDP - real growth rate: | 1.5% (2016 est.) |
| GDP - real growth rate: | 0.7% (2015 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - per capita (PPP): | $48,100 (2016 est.) |
| GDP - per capita (PPP): | $47,500 (2015 est.) |
| GDP - per capita (PPP): | $47,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 35.6% of GDP (2016 est.) |
| Gross national saving: | 36.4% of GDP (2015 est.) |
| Gross national saving: | 34.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 52.7% |
| GDP - composition, by end use: | government consumption: 14.3% |
| GDP - composition, by end use: | investment in fixed capital: 20.9% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 62.9% |
| GDP - composition, by end use: | imports of goods and services: -50.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.9% |
| GDP - composition, by sector of origin: | industry: 36.1% |
| GDP - composition, by sector of origin: | services: 62% (2016 est.) |
| Agriculture - products: | rice, vegetables, fruit, tea, flowers; pigs, poultry; fish |
| Industries: | electronics, communications and information technology products, petroleum refining, chemicals, textiles, iron and steel, machinery, cement, food processing, vehicles, consumer products, pharmaceuticals |
| Industrial production growth rate: | 1.9% (2016 est.) |
| Labor force: | 11.73 million (2016 est.) |
| Labor force - by occupation: | agriculture: 4.9% |
| Labor force - by occupation: | industry: 35.9% |
| Labor force - by occupation: | services: 59.2% (2016 est.) |
| Unemployment rate: | 3.9% (2016 est.) |
| Unemployment rate: | 3.8% (2015 est.) |
| Population below poverty line: | 1.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.4% |
| Household income or consumption by percentage share: | highest 10%: 40.3% (2010) |
| Distribution of family income - Gini index: | 33.6 (2014) |
| Distribution of family income - Gini index: | 32.6 (2000) |
| Budget: | revenues: $83.24 billion |
| Budget: | expenditures: $84.94 billion (2016 est.) |
| Taxes and other revenues: | 15.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -0.3% of GDP (2016 est.) |
| Public debt: | 31.2% of GDP (2016 est.) |
| Public debt: | 31.6% of GDP (2015 est.) |
| Public debt: | note: data for central government |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.4% (2016 est.) |
| Inflation rate (consumer prices): | -0.3% (2015 est.) |
| Central bank discount rate: | 1.38% (31 December 2016) |
| Central bank discount rate: | 1.63% (31 December 2015) |
| Commercial bank prime lending rate: | 2.63% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 2.83% (31 December 2015 est.) |
| Stock of narrow money: | $501.2 billion (31 December 2016 est.) |
| Stock of narrow money: | $462.5 billion (31 December 2015 est.) |
| Stock of broad money: | $1.311 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.255 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $778.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $734 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $851.2 billion (31 December 2016) |
| Market value of publicly traded shares: | $742.5 billion (31 December 2015) |
| Market value of publicly traded shares: | $848.3 billion (31 December 2014) |
| Current account balance: | $74.28 billion (2016 est.) |
| Current account balance: | $75.18 billion (2015 est.) |
| Exports: | $310.4 billion (2016 est.) |
| Exports: | $336.9 billion (2015 est.) |
| Exports - commodities: | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat display displays, steel, electronics, plastics, computers |
| Imports: | $239.7 billion (2016 est.) |
| Imports: | $264.1 billion (2015 est.) |
| Imports - commodities: | oil/petroleum, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemicals, textiles |
| Reserves of foreign exchange and gold: | $439 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $430.7 billion (31 December 2015 est.) |
| Debt - external: | $172.2 billion (31 December 2016 est.) |
| Debt - external: | $159 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $80.68 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $72.34 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $354 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $336.1 billion (31 December 2015 est.) |
| Exchange rates: | New Taiwan dollars (TWD) per US dollar - |
| Exchange rates: | 32.325 (2016 est.) |
| Exchange rates: | 32.325 (2016 est.) |
| Exchange rates: | 31.911 (2014 est.) |
| Exchange rates: | 30.363 (2013 est.) |
| Exchange rates: | 29.62 (2012 est.) |
