| Economy | Taiwan |
| Reserves of foreign exchange and gold: | $414.5 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $408.5 billion (31 December 2012 est.) |
| Debt - external: | $146.8 billion (31 December 2013 est.) |
| Debt - external: | $130.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $62.94 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $59.36 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $240.3 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $226.1 billion (31 December 2012 est.) |
| Exchange rates: | New Taiwan dollars (TWD) per US dollar - |
| Exchange rates: | 29.77 (2013 est.) |
| Exchange rates: | 29.616 (2012 est.) |
| Exchange rates: | 31.648 (2010 est.) |
| Exchange rates: | 33.061 (2009) |
| Exchange rates: | 31.53 (2008) |
