| Economy | Canada |
| Commercial bank prime lending rate: | 3% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3% (31 December 2011 est.) |
| Stock of narrow money: | $648.8 billion (31 December 2012 est.) |
| Stock of narrow money: | $580.6 billion (31 December 2011 est.) |
| Stock of broad money: | $1.523 trillion (31 December 2012 est.) |
| Stock of broad money: | $1.404 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $3.091 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $2.838 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.907 trillion (31 December 2011) |
| Market value of publicly traded shares: | $2.16 trillion (31 December 2010) |
| Market value of publicly traded shares: | $1.681 trillion (31 December 2009) |
| Current account balance: | $-62.27 billion (2012 est.) |
| Current account balance: | $-48.98 billion (2011 est.) |
| Exports: | $462.9 billion (2012 est.) |
| Exports: | $461.6 billion (2011 est.) |
| Exports - commodities: | motor vehicles and parts, industrial machinery, aircraft, telecommunications equipment; chemicals, plastics, fertilizers; wood pulp, timber, crude petroleum, natural gas, electricity, aluminum |
| Exports - partners: | US 74.5%, China 4.3%, UK 4.1% (2012) |
| Imports: | $474.9 billion (2012 est.) |
| Imports: | $460.9 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, motor vehicles and parts, crude oil, chemicals, electricity, durable consumer goods |
| Imports - partners: | US 50.6%, China 11%, Mexico 5.5% (2012) |
| Reserves of foreign exchange and gold: | $68.55 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $65.82 billion (31 December 2011 est.) |
| Debt - external: | $1.326 trillion (31 December 2012) |
| Debt - external: | $1.191 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $992.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $899.8 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $991.6 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $906.4 billion (31 December 2011 est.) |
| Exchange rates: | Canadian dollars (CAD) per US dollar - |
| Exchange rates: | 1 (2012 est.) |
| Exchange rates: | 0.99 (2011 est.) |
| Exchange rates: | 1.03 (2010 est.) |
| Exchange rates: | 1.14 (2009) |
| Exchange rates: | 1.04 (2008) |
