| Economy | Canada |
| Household income or consumption by percentage share: | highest 10%: 24.8% (2000) |
| Distribution of family income - Gini index: | 32.1 (2005) |
| Distribution of family income - Gini index: | 31.5 (1994) |
| Budget: | revenues: $687.8 billion |
| Budget: | expenditures: $740.8 billion (2013 est.) |
| Taxes and other revenues: | 37.7% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.9% of GDP (2013 est.) |
| Public debt: | 86.3% of GDP (2013 est.) |
| Public debt: | 85.4% of GDP (2012 est.) |
| Public debt: | note: figures are for gross general government debt, as opposed to net federal debt; gross general government debt includes both intragovernmental debt and the debt of public entities at the sub-national level |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 1% (2013 est.) |
| Inflation rate (consumer prices): | 1.5% (2012 est.) |
| Central bank discount rate: | 1% (31 December 2010 est.) |
| Central bank discount rate: | 0.25% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 3% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 3% (31 December 2012 est.) |
| Stock of narrow money: | $699.1 billion (31 December 2013 est.) |
| Stock of narrow money: | $648.8 billion (31 December 2012 est.) |
| Stock of broad money: | $1.539 trillion (31 December 2013 est.) |
| Stock of broad money: | $1.488 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $3.126 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.091 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.016 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.907 trillion (31 December 2011) |
| Market value of publicly traded shares: | $2.16 trillion (31 December 2010 est.) |
| Current account balance: | -$59.5 billion (2013 est.) |
| Current account balance: | -$62.27 billion (2012 est.) |
| Exports: | $458.7 billion (2013 est.) |
| Exports: | $462.9 billion (2012 est.) |
| Exports - commodities: | motor vehicles and parts, industrial machinery, aircraft, telecommunications equipment; chemicals, plastics, fertilizers; wood pulp, timber, crude petroleum, natural gas, electricity, aluminum |
| Exports - partners: | US 74.5%, China 4.3%, UK 4.1% (2012) |
| Imports: | $471 billion (2013 est.) |
| Imports: | $474.9 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, motor vehicles and parts, crude oil, chemicals, electricity, durable consumer goods |
| Imports - partners: | US 50.6%, China 11%, Mexico 5.5% (2012) |
| Reserves of foreign exchange and gold: | $68.55 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $65.82 billion (31 December 2011 est.) |
| Debt - external: | $1.331 trillion (31 December 2012 est.) |
| Debt - external: | $1.191 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $1.038 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $992.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.047 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $991.6 billion (31 December 2012 est.) |
| Exchange rates: | Canadian dollars (CAD) per US dollar - |
| Exchange rates: | 1.03 (2013 est.) |
| Exchange rates: | 0.9992 (2012 est.) |
| Exchange rates: | 1.0302 (2010 est.) |
| Exchange rates: | 1.1431 (2009) |
| Exchange rates: | 1.0364 (2008) |
