| Economy | Congo, Democratic Republic of the |
| Budget surplus (+) or deficit (-): | -0.9% (of GDP) (2017 est.) |
| Public debt: | 18.1% of GDP (2017 est.) |
| Public debt: | 19.3% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 41.5% (2017 est.) |
| Inflation rate (consumer prices): | 18.2% (2016 est.) |
| Central bank discount rate: | 20% (31 December 2017) |
| Central bank discount rate: | 20% (31 December 2011) |
| Commercial bank prime lending rate: | 20.62% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 19.05% (31 December 2016 est.) |
| Stock of narrow money: | $1.044 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.192 billion (31 December 2016 est.) |
| Stock of broad money: | $1.044 billion (31 December 2017 est.) |
| Stock of broad money: | $1.192 billion (31 December 2016 est.) |
| Stock of domestic credit: | $3.252 billion (31 December 2017 est.) |
| Stock of domestic credit: | $3.582 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$200 million (2017 est.) |
| Current account balance: | -$1.215 billion (2016 est.) |
| Exports: | $10.98 billion (2017 est.) |
| Exports: | $8.228 billion (2016 est.) |
| Exports - partners: | China 41.4%, Zambia 22.7%, South Korea 7.2%, Finland 6.2% (2017) |
| Exports - commodities: | diamonds, copper, gold, cobalt, wood products, crude oil, coffee |
| Imports: | $10.82 billion (2017 est.) |
| Imports: | $10.21 billion (2016 est.) |
| Imports - commodities: | foodstuffs, mining and other machinery, transport equipment, fuels |
| Imports - partners: | China 19.9%, South Africa 18%, Zambia 10.4%, Belgium 9.1%, India 4.3%, Tanzania 4.2% (2017) |
| Reserves of foreign exchange and gold: | $457.5 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $708.2 million (31 December 2016 est.) |
| Debt - external: | $4.963 billion (31 December 2017 est.) |
| Debt - external: | $5.35 billion (31 December 2016 est.) |
| Exchange rates: | Congolese francs (CDF) per US dollar - |
| Exchange rates: | 1,546.8 (2017 est.) |
| Exchange rates: | 1,010.3 (2016 est.) |
| Exchange rates: | 1,010.3 (2015 est.) |
| Exchange rates: | 925.99 (2014 est.) |
| Exchange rates: | 925.23 (2013 est.) |
