| Economy | Poland |
| Stock of broad money: | $290.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $344.7 billion (31 December 2013 est.) |
| Stock of domestic credit: | $328.4 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $177.7 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $138.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $190.2 billion (31 December 2010 est.) |
| Current account balance: | -$11.06 billion (2013 est.) |
| Current account balance: | -$18.14 billion (2012 est.) |
| Exports: | $202.3 billion (2013 est.) |
| Exports: | $191 billion (2012 est.) |
| Exports - commodities: | machinery and transport equipment 37.8%, intermediate manufactured goods 23.7%, miscellaneous manufactured goods 17.1%, food and live animals 7.6% |
| Exports - partners: | Germany 26%, UK 7%, Czech Republic 6.5%, France 6%, Russia 5.2%, Italy 5%, Netherlands 4.6% (2012) |
| Imports: | $207.4 billion (2013 est.) |
| Imports: | $197.7 billion (2012 est.) |
| Imports - commodities: | machinery and transport equipment 38%, intermediate manufactured goods 21%, chemicals 15%, minerals, fuels, lubricants, and related materials 9% (2011 est.) |
| Imports - partners: | Germany 27.3%, Russia 12.2%, Netherlands 5.9%, China 5.4%, Italy 5.2%, Czech Republic 4.3%, France 4.2% (2012) |
| Reserves of foreign exchange and gold: | $107.8 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $108.9 billion (31 December 2012 est.) |
| Debt - external: | $365.2 billion (31 December 2013 est.) |
| Debt - external: | $364.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $248.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $246.5 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $69.78 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $70.28 billion (31 December 2012 est.) |
| Exchange rates: | zlotych (PLN) per US dollar - |
| Exchange rates: | 3.175 (2013 est.) |
| Exchange rates: | 3.2565 (2012 est.) |
| Exchange rates: | 3.0153 (2010 est.) |
| Exchange rates: | 3.1214 (2009) |
| Exchange rates: | 2.3 (2008) |
