| Economy | POLAND |
| Budget: | expenditures: $101.5 billion (2014 est.) |
| Taxes and other revenues: | 16.8% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -1.5% of GDP (2014 est.) |
| Public debt: | 45.6% of GDP (2014 est.) |
| Public debt: | 49.7% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, the data include subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0% (2014 est.) |
| Inflation rate (consumer prices): | 1.1% (2013 est.) |
| Central bank discount rate: | 4.25% (31 December 2012) |
| Central bank discount rate: | 4% (31 December 2010) |
| Commercial bank prime lending rate: | 6.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 7.07% (31 December 2013 est.) |
| Stock of narrow money: | $181.7 billion (31 December 2014 est.) |
| Stock of narrow money: | $184.5 billion (31 December 2013 est.) |
| Stock of broad money: | $306.7 billion (31 December 2014 est.) |
| Stock of broad money: | $318.8 billion (31 December 2013 est.) |
| Stock of domestic credit: | $352 billion (31 December 2014 est.) |
| Stock of domestic credit: | $362.9 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $177.7 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $138.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $190.2 billion (31 December 2010 est.) |
| Current account balance: | -$6.675 billion (2014 est.) |
| Current account balance: | -$7.014 billion (2013 est.) |
| Exports: | $218.9 billion (2014 est.) |
| Exports: | $197.8 billion (2013 est.) |
| Exports - commodities: | machinery and transport equipment 37.8%, intermediate manufactured goods 23.7%, miscellaneous manufactured goods 17.1%, food and live animals 7.6% (2012 est.) |
| Exports - partners: | Germany 27.1%, UK 6.6%, Czech Republic 6.6%, France 5.8%, Italy 4.7%, Netherlands 4.3%, Russia 4.2% (2014) |
| Imports: | $217 billion (2014 est.) |
| Imports: | $196.9 billion (2013 est.) |
| Imports - commodities: | machinery and transport equipment 38%, intermediate manufactured goods 21%, chemicals 15%, minerals, fuels, lubricants, and related materials 9% (2011 est.) |
| Imports - partners: | Germany 28%, Russia 9.1%, China 6.5%, Netherlands 5.9%, Italy 5.5%, France 4.2%, Czech Republic 4.2% (2014) |
| Reserves of foreign exchange and gold: | $105.7 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $106.2 billion (31 December 2013 est.) |
| Debt - external: | $395.2 billion (31 December 2014 est.) |
| Debt - external: | $377.9 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $273.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $269.4 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $69.72 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $68.92 billion (31 December 2013 est.) |
| Exchange rates: | zlotych (PLN) per US dollar - |
| Exchange rates: | 3.139 (2014 est.) |
| Exchange rates: | 3.1606 (2013 est.) |
| Exchange rates: | 3.26 (2012 est.) |
| Exchange rates: | 2.9639 (2011 est.) |
| Exchange rates: | 3.0153 (2010 est.) |
