| Economy | GUINEA |
| GDP (official exchange rate): | $8.476 billion (2016 est.) |
| GDP - real growth rate: | 6.6% (2016 est.) |
| GDP - real growth rate: | 3.5% (2015 est.) |
| GDP - real growth rate: | 3.7% (2014 est.) |
| GDP - per capita (PPP): | $1,900 (2016 est.) |
| GDP - per capita (PPP): | $1,900 (2015 est.) |
| GDP - per capita (PPP): | $1,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | -6.7% of GDP (2016 est.) |
| Gross national saving: | -8.1% of GDP (2015 est.) |
| Gross national saving: | -7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 105.4% |
| GDP - composition, by end use: | government consumption: 7.3% |
| GDP - composition, by end use: | investment in fixed capital: 13.6% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 31.6% |
| GDP - composition, by end use: | imports of goods and services: -57.8% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.9% |
| GDP - composition, by sector of origin: | industry: 37.6% |
| GDP - composition, by sector of origin: | services: 42.5% (2016 est.) |
| Agriculture - products: | rice, coffee, pineapples, mangoes, palm kernels, cocoa, cassava (manioc, tapioca), bananas, potatoes, sweet potatoes; cattle, sheep, goats; timber |
| Industries: | bauxite, gold, diamonds, iron ore; light manufacturing, agricultural processing |
| Industrial production growth rate: | 8.5% (2016 est.) |
| Labor force: | 6.138 million (2016 est.) |
| Labor force - by occupation: | agriculture: 76% |
| Labor force - by occupation: | industry and services: 24% (2006 est.) |
| Unemployment rate: | 2.4% (2016 est.) |
| Unemployment rate: | 2.4% (2015 est.) |
| Population below poverty line: | 47% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2007) |
| Distribution of family income - Gini index: | 39.4 (2007) |
| Distribution of family income - Gini index: | 40.3 (1994) |
| Budget: | revenues: $1.331 billion |
| Budget: | expenditures: $1.588 billion (2016 est.) |
| Taxes and other revenues: | 20.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2016 est.) |
| Public debt: | 56% of GDP (2016 est.) |
| Public debt: | 54.7% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.2% (2016 est.) |
| Inflation rate (consumer prices): | 8.1% (2015 est.) |
| Central bank discount rate: | 22.25% (31 December 2005) |
| Commercial bank prime lending rate: | 21.7% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 23% (31 December 2015 est.) |
| Stock of narrow money: | $1.61 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.698 billion (31 December 2015 est.) |
| Stock of broad money: | $2.12 billion (31 December 2016 est.) |
| Stock of broad money: | $2.222 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.931 billion (31 December 2016 est.) |
| Stock of domestic credit: | $2.15 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-2.706 billion (2016 est.) |
| Current account balance: | $-1.024 billion (2015 est.) |
| Exports: | $1.954 billion (2016 est.) |
| Exports: | $1.558 billion (2015 est.) |
| Exports - commodities: | bauxite, gold, diamonds, coffee, fish, agricultural products |
| Exports - partners: | China 24.6%, Ghana 17.9%, Switzerland 10.1%, UAE 7.7%, France 5.2%, Spain 4.3%, India 4.1% (2016) |
| Imports: | $2.109 billion (2016 est.) |
| Imports: | $2.192 billion (2015 est.) |
| Imports - commodities: | petroleum products, metals, machinery, transport equipment, textiles, grain and other foodstuffs |
| Imports - partners: | Netherlands 14.6%, China 13.5%, India 12.4%, Belgium 8.6%, France 6.9%, UAE 5.4%, Singapore 4.9% (2016) |
| Reserves of foreign exchange and gold: | $383.4 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $339.3 million (31 December 2015 est.) |
| Debt - external: | $1.462 billion (31 December 2016 est.) |
| Debt - external: | $1.389 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $69.19 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $68.44 million (31 December 2015 est.) |
| Exchange rates: | Guinean francs (GNF) per US dollar - |
| Exchange rates: | 9,085 (2016 est.) |
| Exchange rates: | 9,085 (2015 est.) |
| Exchange rates: | 7,485.5 (2014 est.) |
| Exchange rates: | 7,014.1 (2013 est.) |
| Exchange rates: | 6,986 (2012 est.) |
