| Economy | Turkmenistan |
| Labor force: | 2.305 million (2013 est.) |
| Labor force - by occupation: | agriculture: 48.2% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 37.8% (2004 est.) |
| Unemployment rate: | 11% (2014 est.) |
| Unemployment rate: | 10.6% (2013) |
| Population below poverty line: | 0.2% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 31.7% (1998) |
| Distribution of family income - Gini index: | 40.8 (1998) |
| Budget: | revenues: 5.657 billion (2017 est.) |
| Budget: | expenditures: 6.714 billion (2017 est.) |
| Taxes and other revenues: | 14.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.8% (of GDP) (2017 est.) |
| Public debt: | 28.8% of GDP (2017 est.) |
| Public debt: | 24.1% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8% (2017 est.) |
| Inflation rate (consumer prices): | 3.6% (2016 est.) |
| Central bank discount rate: | 5% (31 December 2014) |
| Central bank discount rate: | 5% (31 December 2013) |
| Commercial bank prime lending rate: | 19% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 16% (31 December 2016 est.) |
| Stock of narrow money: | $1.326 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.255 billion (31 December 2014 est.) |
| Stock of broad money: | $12.23 billion (31 December 2015 est.) |
| Stock of broad money: | $5.632 billion (31 December 2014 est.) |
| Stock of domestic credit: | $28.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.09 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$4.359 billion (2017 est.) |
| Current account balance: | -$7.207 billion (2016 est.) |
| Exports: | $7.458 billion (2017 est.) |
| Exports: | $6.987 billion (2016 est.) |
| Exports - partners: | China 83.7%, Turkey 5.1% (2017) |
| Exports - commodities: | gas, crude oil, petrochemicals, textiles, cotton fiber |
| Imports: | $4.571 billion (2017 est.) |
| Imports: | $5.215 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, chemicals, foodstuffs |
| Imports - partners: | Turkey 24.2%, Algeria 14.4%, Germany 9.8%, China 8.9%, Russia 8%, US 6.6% (2017) |
| Reserves of foreign exchange and gold: | $24.91 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $25.05 billion (31 December 2016 est.) |
| Debt - external: | $539.4 million (31 December 2017 est.) |
| Debt - external: | $425.3 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.061 billion (2013 est.) |
| Stock of direct foreign investment - at home: | $3.117 billion (2012 est.) |
| Exchange rates: | Turkmenistani manat (TMM) per US dollar - |
| Exchange rates: | 4.125 (2017 est.) |
| Exchange rates: | 3.5 (2016 est.) |
| Exchange rates: | 3.5 (2015 est.) |
| Exchange rates: | 3.5 (2014 est.) |
| Exchange rates: | 2.85 (2013 est.) |
