| Economy | MEXICO |
| Population below poverty line: | 52.3% |
| Population below poverty line: | note: based on food-based definition of poverty; asset-based poverty amounted to more than 47% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 37.5% (2010) |
| Distribution of family income - Gini index: | 48.3 (2008) |
| Distribution of family income - Gini index: | 53.1 (1998) |
| Budget: | revenues: $269.2 billion |
| Budget: | expenditures: $308.7 billion (2015 est.) |
| Taxes and other revenues: | 23.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.5% of GDP (2015 est.) |
| Public debt: | 46.5% of GDP (2015 est.) |
| Public debt: | 41.9% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.7% (2015 est.) |
| Inflation rate (consumer prices): | 4% (2014 est.) |
| Central bank discount rate: | 4.5% (31 December 2012) |
| Central bank discount rate: | 4.5% (31 December 2011) |
| Commercial bank prime lending rate: | 3.42% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 3.55% (31 December 2014 est.) |
| Stock of narrow money: | $194.8 billion (31 December 2015 est.) |
| Stock of narrow money: | $195.6 billion (31 December 2014 est.) |
| Stock of broad money: | $826.7 billion (31 December 2014 est.) |
| Stock of broad money: | $727 billion (31 December 2013 est.) |
| Stock of domestic credit: | $398.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $413 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $525.1 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $408.7 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $454.3 billion (31 December 2013 est.) |
| Current account balance: | -$32.38 billion (2015 est.) |
| Current account balance: | -$24.85 billion (2014 est.) |
| Exports: | $381 billion (2015 est.) |
| Exports: | $397.7 billion (2014 est.) |
| Exports - commodities: | manufactured goods, oil and oil products, silver, fruits, vegetables, coffee, cotton |
| Exports - partners: | US 81.1% (2015) |
| Imports: | $395.6 billion (2015 est.) |
| Imports: | $400.4 billion (2014 est.) |
| Imports - commodities: | metalworking machines, steel mill products, agricultural machinery, electrical equipment, automobile parts for assembly and repair, aircraft, aircraft parts |
| Imports - partners: | US 47.3%, China 17.7%, Japan 4.4% (2015) |
| Reserves of foreign exchange and gold: | $178 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $195.9 billion (31 December 2014 est.) |
| Debt - external: | $441.6 billion (31 December 2015 est.) |
| Debt - external: | $432.6 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $356.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $389.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $142.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $143.9 billion (31 December 2014 est.) |
| Exchange rates: | Mexican pesos (MXN) per US dollar - |
| Exchange rates: | 15.848 (2015 est.) |
| Exchange rates: | 13.292 (2014 est.) |
| Exchange rates: | 13.292 (2013 est.) |
| Exchange rates: | 13.17 (2012 est.) |
| Exchange rates: | 12.423 (2011 est.) |
