| Economy | BOTSWANA |
| Reserves of foreign exchange and gold: | $7.189 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $7.546 billion (31 December 2015 est.) |
| Debt - external: | $2.421 billion (31 December 2016 est.) |
| Debt - external: | $2.148 billion (31 December 2015 est.) |
| Exchange rates: | pulas (BWP) per US dollar - |
| Exchange rates: | 10.9022 (2016 est.) |
| Exchange rates: | 10.9022 (2015 est.) |
| Exchange rates: | 10.1263 (2014 est.) |
| Exchange rates: | 8.9761 (2013 est.) |
| Exchange rates: | 7.62 (2012 est.) |
