| Economy | Trinidad and Tobago |
| Commercial bank prime lending rate: | 7.7% (31 December 2012 est.) |
| Stock of narrow money: | $7.044 billion (31 December 2013 est.) |
| Stock of narrow money: | $6.221 billion (31 December 2012 est.) |
| Stock of broad money: | $20.12 billion (31 December 2013 est.) |
| Stock of broad money: | $17.82 billion (31 December 2012 est.) |
| Stock of domestic credit: | $6.403 billion (31 December 2013 est.) |
| Stock of domestic credit: | $6.059 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $15.17 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $14.73 billion (31 December 2011) |
| Market value of publicly traded shares: | $12.16 billion (31 December 2010 est.) |
| Current account balance: | $414.1 million (2013 est.) |
| Current account balance: | $959 million (2012 est.) |
| Exports: | $12.86 billion (2013 est.) |
| Exports: | $12.98 billion (2012 est.) |
| Exports - commodities: | petroleum and petroleum products, liquefied natural gas, methanol, ammonia, urea, steel products, beverages, cereal and cereal products, sugar, cocoa, coffee, citrus fruit, vegetables, flowers |
| Exports - partners: | US 42.1%, Chile 7.1%, Argentina 6.5%, Spain 4.5% (2012) |
| Imports: | $9.638 billion (2013 est.) |
| Imports: | $9.065 billion (2012 est.) |
| Imports - commodities: | mineral fuels, lubricants, machinery, transportation equipment, manufactured goods, food, chemicals, live animals |
| Imports - partners: | US 33.1%, Brazil 8.1%, Colombia 7.7%, Gabon 5.5%, Canada 4.4%, China 4.2% (2012) |
| Reserves of foreign exchange and gold: | $10.07 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $9.897 billion (31 December 2012 est.) |
| Debt - external: | $4.823 billion (31 December 2013 est.) |
| Debt - external: | $4.722 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $102 billion (31 December 2008 est.) |
| Stock of direct foreign investment - at home: | $12.44 billion (2007) |
| Stock of direct foreign investment - abroad: | $3.829 billion (2007) |
| Exchange rates: | Trinidad and Tobago dollars (TTD) per US dollar - |
| Exchange rates: | 6.411 (2013 est.) |
| Exchange rates: | 6.3907 (2012 est.) |
| Exchange rates: | 6.3755 (2010 est.) |
| Exchange rates: | 6.3099 (2009) |
| Exchange rates: | 6.2896 (2008) |
