| Economy | India |
| Credit ratings: | Standard & Poors rating: BBB- (2007) |
| GDP (purchasing power parity) - real: | $8,976,876,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $8,561,601,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $8,019,777,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $2,835,927,000,000 (2019 est.) |
| GDP - per capita (PPP): | $2,100 (2019 est.) |
| GDP - per capita (PPP): | $2,023 (2018 est.) |
| GDP - per capita (PPP): | $1,915 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 28.8% of GDP (2017 est.) |
| Gross national saving: | 29.7% of GDP (2016 est.) |
| Gross national saving: | 30.7% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 15.4% (2016 est.) |
| GDP - composition, by sector of origin: | industry: 23% (2016 est.) |
| GDP - composition, by sector of origin: | services: 61.5% (2016 est.) |
| GDP - composition, by end use: | household consumption: 59.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 28.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 3.9% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 19.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -22% (2017 est.) |
| Ease of Doing Business Index scores: | 71.0 (2020) |
| Agriculture - products: | rice, wheat, oilseed, cotton, jute, tea, sugarcane, lentils, onions, potatoes; dairy products, sheep, goats, poultry; fish |
| Industries: | textiles, chemicals, food processing, steel, transportation equipment, cement, mining, petroleum, machinery, software, pharmaceuticals |
| Industrial production growth rate: | 5.5% (2017 est.) |
| Labor force: | 521.9 million (2017 est.) |
| Labor force - by occupation: | agriculture: 47% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 31% (FY 2014 est.) |
| Unemployment rate: | 8.5% (2017 est.) |
| Unemployment rate: | 8.5% (2016 est.) |
| Population below poverty line: | 21.9% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 29.8% (2011) |
| Budget: | revenues: 238.2 billion (2017 est.) |
| Budget: | expenditures: 329 billion (2017 est.) |
| Taxes and other revenues: | 9.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.5% (of GDP) (2017 est.) |
| Public debt: | 71.2% of GDP (2017 est.) |
| Public debt: | 69.5% of GDP (2016 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 1 April - 31 March |
| Current account balance: | -$29.748 billion (2019 est.) |
| Current account balance: | -$65.939 billion (2018 est.) |
| Exports: | $572.073 billion (2019 est.) |
| Exports: | $564.165 billion (2018 est.) |
| Exports: | $509.661 billion (2017 est.) |
| Exports - partners: | US 15.6%, UAE 10.2%, Hong Kong 4.9%, China 4.3% (2017) |
| Exports - commodities: | petroleum products, precious stones, vehicles, machinery, iron and steel, chemicals, pharmaceutical products, cereals, apparel |
| Imports: | $624.314 billion (2019 est.) |
| Imports: | $656.529 billion (2018 est.) |
| Imports: | $575.121 billion (2017 est.) |
| Imports - commodities: | crude oil, precious stones, machinery, chemicals, fertilizer, plastics, iron and steel |
| Imports - partners: | China 16.3%, US 5.5%, UAE 5.2%, Saudi Arabia 4.8%, Switzerland 4.7% (2017) |
| Reserves of foreign exchange and gold: | $409.8 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $359.7 billion (31 December 2016 est.) |
| Debt - external: | $501.6 billion (31 December 2017 est.) |
| Debt - external: | $456.4 billion (31 December 2016 est.) |
| Exchange rates: | Indian rupees (INR) per US dollar - |
| Exchange rates: | 73.565 (2020 est.) |
| Exchange rates: | 71.05 (2019 est.) |
| Exchange rates: | 70.7675 (2018 est.) |
| Exchange rates: | 64.152 (2014 est.) |
| Exchange rates: | 61.03 (2013 est.) |
