| Economy | India |
| Stock of domestic credit: | $1.402 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $1.249 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.015 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.616 trillion (31 December 2010) |
| Market value of publicly traded shares: | $1.179 trillion (31 December 2009) |
| Agriculture - products: | rice, wheat, oilseed, cotton, jute, tea, sugarcane, lentils, onions, potatoes; dairy products, sheep, goats, poultry; fish |
| Industrial production growth rate: | 4.8% (2011 est.) |
| Current account balance: | -$80.15 billion (2012 est.) |
| Current account balance: | -$46.91 billion (2011 est.) |
| Exports: | $309.1 billion (2012 est.) |
| Exports: | $305 billion (2011 est.) |
| Exports - commodities: | petroleum products, precious stones, machinery, iron and steel, chemicals, vehicles, apparel |
| Exports - partners: | UAE 12.7%, US 10.8%, China 6.2%, Singapore 5.3%, Hong Kong 4.1% (2011) |
| Imports: | $500.3 billion (2012 est.) |
| Imports: | $490 billion (2011 est.) |
| Imports - commodities: | crude oil, precious stones, machinery, fertilizer, iron and steel, chemicals |
| Imports - partners: | China 11.9%, UAE 7.7%, Switzerland 6.8%, Saudi Arabia 6.1%, US 4.9% (2011) |
| Reserves of foreign exchange and gold: | $287.2 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $297.9 billion (31 December 2011 est.) |
| Debt - external: | $299.2 billion (31 December 2012 est.) |
| Debt - external: | $287.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $256.6 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $232.7 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $121.3 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $106.3 billion (31 December 2011 est.) |
| Exchange rates: | Indian rupees (INR) per US dollar - |
| Exchange rates: | 53.17 (2012 est.) |
| Exchange rates: | 46.671 (2011 est.) |
| Exchange rates: | 45.726 (2010 est.) |
| Exchange rates: | 48.405 (2009) |
| Exchange rates: | 43.319 (2008) |
| Fiscal year: | 1 April - 31 March |
