| Economy | INDIA |
| Commercial bank prime lending rate: | 9.67% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 10.01% (31 December 2015 est.) |
| Stock of narrow money: | $294.4 billion (31 December 2016 est.) |
| Stock of narrow money: | $370.6 billion (31 December 2015 est.) |
| Stock of broad money: | $1.773 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.704 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $1.622 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $1.57 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.516 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.558 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.139 trillion (31 December 2013 est.) |
| Current account balance: | $-15.23 billion (2016 est.) |
| Current account balance: | $-22.46 billion (2015 est.) |
| Exports: | $268.6 billion (2016 est.) |
| Exports: | $272.4 billion (2015 est.) |
| Exports - commodities: | petroleum products, precious stones, vehicles, machinery, iron and steel, chemicals, pharmaceutical products, cereals, apparel |
| Exports - partners: | US 16%, UAE 11.7%, Hong Kong 5.1% (2016) |
| Imports: | $376.1 billion (2016 est.) |
| Imports: | $409.2 billion (2015 est.) |
| Imports - commodities: | crude oil, precious stones, machinery, chemicals, fertilizer, plastics, iron and steel |
| Imports - partners: | China 17%, US 5.8%, UAE 5.4%, Saudi Arabia 5.2%, Switzerland 4.2% (2016) |
| Reserves of foreign exchange and gold: | $359.7 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $351.6 billion (31 December 2015 est.) |
| Debt - external: | $456.4 billion (31 December 2016 est.) |
| Debt - external: | $479.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $318.5 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $282.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $144.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $139 billion (31 December 2015 est.) |
| Exchange rates: | Indian rupees (INR) per US dollar - |
| Exchange rates: | 68.3 (2016 est.) |
| Exchange rates: | 64.15 (2015 est.) |
| Exchange rates: | 64.15 (2014 est.) |
| Exchange rates: | 61.03 (2013 est.) |
| Exchange rates: | 53.44 (2012 est.) |
