| Economy | ALBANIA |
| Stock of broad money: | $6.269 billion (31 December 2014 est.) |
| Stock of domestic credit: | $7.18 billion (31 December 2015 est.) |
| Stock of domestic credit: | $8.231 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$1.311 billion (2015 est.) |
| Current account balance: | -$1.71 billion (2014 est.) |
| Exports: | $854.7 million (2015 est.) |
| Exports: | $1.241 billion (2014 est.) |
| Exports - commodities: | textiles, footwear; asphalt, metals and metallic ores, crude oil; vegetables, fruits, tobacco |
| Exports - partners: | Italy 43.4%, Kosovo 9.8%, US 7.7%, China 6.2%, Greece 5.3%, Spain 4.8% (2015) |
| Imports: | $3.402 billion (2015 est.) |
| Imports: | $4.17 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, textiles, chemicals |
| Imports - partners: | Italy 33.5%, China 10.1%, Greece 9%, Turkey 6.7%, Germany 5.2% (2015) |
| Reserves of foreign exchange and gold: | $3.139 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.665 billion (31 December 2014 est.) |
| Debt - external: | $7.716 billion (31 December 2015 est.) |
| Debt - external: | $8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $5.557 billion (31 December 2013) |
| Stock of direct foreign investment - at home: | $4.994 billion (31 December 2012) |
| Exchange rates: | leke (ALL) per US dollar - |
| Exchange rates: | 125.96 (2015 est.) |
| Exchange rates: | 105.48 (2014 est.) |
| Exchange rates: | 105.48 (2013 est.) |
| Exchange rates: | 108.19 (2012 est.) |
| Exchange rates: | 100.9 (2011 est.) |
