| Economy | Zimbabwe |
| GDP - composition, by end use: | imports of goods and services: -39.9% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 12% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 22.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 65.8% (2017 est.) |
| Agriculture - products: | tobacco, corn, cotton, wheat, coffee, sugarcane, peanuts; sheep, goats, pigs |
| Industries: | mining (coal, gold, platinum, copper, nickel, tin, diamonds, clay, numerous metallic and nonmetallic ores), steel; wood products, cement, chemicals, fertilizer, clothing and footwear, foodstuffs, beverages |
| Industrial production growth rate: | 0.3% (2017 est.) |
| Labor force: | 7.907 million (2017 est.) |
| Labor force - by occupation: | agriculture: 67.5% |
| Labor force - by occupation: | industry: 7.3% |
| Labor force - by occupation: | services: 25.2% (2017 est.) |
| Unemployment rate: | 11.3% (2014 est.) |
| Unemployment rate: | 80% (2005 est.) |
| Unemployment rate: | note: data include both unemployment and underemployment; true unemployment is unknown and, under current economic conditions, unknowable |
| Population below poverty line: | 72.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 40.4% (1995) |
| Distribution of family income - Gini index: | 43.2 (2011 est.) |
| Distribution of family income - Gini index: | 50.1 (2006) |
| Budget: | revenues: 3.8 billion (2017 est.) |
| Budget: | expenditures: 5.5 billion (2017 est.) |
| Taxes and other revenues: | 21.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -9.6% (of GDP) (2017 est.) |
| Public debt: | 82.3% of GDP (2017 est.) |
| Public debt: | 69.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2017 est.) |
| Inflation rate (consumer prices): | -1.6% (2016 est.) |
| Central bank discount rate: | 7.17% (31 December 2010) |
| Central bank discount rate: | 975% (31 December 2007) |
| Commercial bank prime lending rate: | 18% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 7.1% (31 December 2016 est.) |
| Stock of narrow money: | $4.322 billion (31 December 2017 est.) |
| Stock of narrow money: | $4.104 billion (31 December 2016 est.) |
| Stock of narrow money: | note: Zimbabwe's central bank no longer publishes data on monetary aggregates, except for bank deposits, which amounted to $2.1 billion in November 2010; the Zimbabwe dollar stopped circulating in early 2009; since then, the US dollar and South African rand have been the most frequently used currencies; there are no reliable estimates of the amount of foreign currency circulating in Zimbabwe |
| Stock of broad money: | $4.322 billion (31 December 2017 est.) |
| Stock of broad money: | $4.104 billion (31 December 2016 est.) |
| Stock of domestic credit: | $8.389 billion (31 December 2017 est.) |
| Stock of domestic credit: | $5.358 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $4.073 billion (13 April 2015 est.) |
| Market value of publicly traded shares: | $11.82 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $10.9 billion (31 December 2011 est.) |
| Current account balance: | -$716 million (2017 est.) |
| Current account balance: | -$553 million (2016 est.) |
| Exports: | $4.353 billion (2017 est.) |
| Exports: | $3.366 billion (2016 est.) |
| Exports - partners: | South Africa 50.3%, Mozambique 22.5%, UAE 9.8%, Zambia 4.9% (2017) |
| Exports - commodities: | platinum, cotton, tobacco, gold, ferroalloys, textiles/clothing |
| Imports: | $5.472 billion (2017 est.) |
| Imports: | $5.236 billion (2016 est.) |
| Imports - commodities: | machinery and transport equipment, other manufactures, chemicals, fuels, food products |
| Imports - partners: | South Africa 47.8%, Zambia 20.5% (2017) |
| Reserves of foreign exchange and gold: | $431.8 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $407.2 million (31 December 2016 est.) |
| Debt - external: | $9.357 billion (31 December 2017 est.) |
| Debt - external: | $10.14 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.86 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $3.518 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $309.6 million (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $271.6 million (31 December 2016 est.) |
| Exchange rates: | Zimbabwean dollars (ZWD) per US dollar - |
| Exchange rates: | 1 (2017 est.) |
| Exchange rates: | 1 (2016 est.) |
| Exchange rates: | (2013) |
| Exchange rates: | 234.25 (2010) |
| Exchange rates: | note: the dollar was adopted as a legal currency in 2009; since then the Zimbabwean dollar has experienced hyperinflation and is essentially worthless |
